doc_id,sentence_id,product_a,product_b,comparative_terms,relationship_types,risk_terms,study_context,matched_terms,context_rule_hits,direction_type,product_a_role,product_b_role,direction_triggers,narrative_type,narrative_subtype,narrative_confidence,claim_strength,risk_posture,section,narrative_invariant_ok,narrative_invariant_reason,sentiment_label,sentiment_score,sentiment_model,sentiment_inference_ts,created_at
ppr:doi:10.20944/preprints202509.0619.v1,ppr:doi:10.20944/preprints202509.0619.v1:sec:results:sent:10,enalapril,sacubitril_valsartan,,,,,"{""claim_strength_terms"": {""confirmatory"": [""p=""]}}","[""claim_strength:confirmatory""]",,,,,comparative,comparative_efficacy,0.6000000000000001,confirmatory,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
ppr:doi:10.20944/preprints202509.0619.v1,ppr:doi:10.20944/preprints202509.0619.v1:sec:results:sent:11,enalapril,sacubitril_valsartan,,,,,"{""claim_strength_terms"": {""confirmatory"": [""p=""]}}","[""claim_strength:confirmatory""]",,,,,comparative,comparative_efficacy,0.6000000000000001,confirmatory,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
ppr:doi:10.20944/preprints202509.0619.v1,ppr:doi:10.20944/preprints202509.0619.v1:sec:results:sent:9,enalapril,sacubitril_valsartan,,,,,"{""claim_strength_terms"": {""confirmatory"": [""p="", ""significant improvement""]}}","[""claim_strength:confirmatory""]",,,,,comparative,comparative_efficacy,0.6000000000000001,confirmatory,,results,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
ppr:doi:10.20944/preprints202509.0619.v1,ppr:doi:10.20944/preprints202509.0619.v1:sec:title:sent:0,enalapril,sacubitril_valsartan,compared with,,,retrospective,"{""comparative_terms"": [""compared with""], ""study_context"": [""retrospective""], ""real_world_terms"": [""retrospective""]}","[""comparative_terms"", ""study_context"", ""real_world_terms""]",,,,,,,,,,title,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
med:pmid:40981086,med:pmid:40981086:sec:abstract:sent:10,enalapril,sacubitril_valsartan,compared to,,,,"{""comparative_terms"": [""compared to""]}","[""comparative_terms""]",,,,,,,,,,abstract,,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40981086,med:pmid:40981086:sec:abstract:sent:12,enalapril,sacubitril_valsartan,compared to,,,,"{""comparative_terms"": [""compared to""]}","[""comparative_terms""]",,,,,,,,,,abstract,,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40908036,med:pmid:40908036:sec:abstract:sent:5,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,abstract,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41049960,med:pmid:41049960:sec:introduction:sent:1,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""gdmt""]}","[""relationship:combination""]",,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41049960,med:pmid:41049960:sec:results:sent:12,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""], ""endpoint_terms"": [""blood pressure""]}","[""relationship:combination"", ""endpoint_terms""]",,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41070303,med:pmid:41070303:sec:conclusion:sent:10,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""combined with""]}","[""relationship:combination""]",add_on,add_on,add_on,"[""combination_with""]",,,,,,conclusion,,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41070303,med:pmid:41070303:sec:methods:sent:4,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,methods,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41070303,med:pmid:41070303:sec:results:sent:7,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41070303,med:pmid:41070303:sec:results:sent:8,enalapril,sacubitril_valsartan,compared to,,,,"{""comparative_terms"": [""compared to""], ""claim_strength_terms"": {""confirmatory"": [""p<""]}}","[""comparative_terms"", ""claim_strength:confirmatory""]",,,,,comparative,comparative_efficacy,0.6,confirmatory,,results,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41070303,med:pmid:41070303:sec:title:sent:0,enalapril,sacubitril_valsartan,,combination,safety,,"{""combination"": [""combined with""], ""risk_terms"": [""safety""]}","[""relationship:combination"", ""risk_terms""]",add_on,add_on,add_on,"[""combination_with""]",,,,,,title,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41284794,med:pmid:41284794:sec:abstract:sent:8,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,abstract,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40849246,med:pmid:40849246:sec:introduction:sent:5,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40849246,med:pmid:40849246:sec:results:sent:8,enalapril,sacubitril_valsartan,compared to,,,,"{""comparative_terms"": [""compared to""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.6,,,results,1,,POS,2.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40835081,med:pmid:40835081:sec:abstract:sent:8,enalapril,sacubitril_valsartan,vs,combination,,,"{""comparative_terms"": [""vs""], ""combination"": [""acei/arb/arni""]}","[""comparative_terms"", ""relationship:combination""]",,,,,,,,,,abstract,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40873622,med:pmid:40873622:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,compared with,,,,"{""comparative_terms"": [""compared with""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.6,,,conclusion,0,text_too_short,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40873622,med:pmid:40873622:sec:methods:sent:4,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,methods,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40873622,med:pmid:40873622:sec:results:sent:6,enalapril,sacubitril_valsartan,"compared with, vs",,,,"{""comparative_terms"": [""compared with"", ""vs""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.39999999999999997,,,results,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40769236,med:pmid:40769236:sec:conclusion:sent:10,enalapril,sacubitril_valsartan,,,,,,,,,,,evidence,real_world,0.7,,,conclusion,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40397431,med:pmid:40397431:sec:results:sent:3,enalapril,sacubitril_valsartan,,,,,,,,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40397431,med:pmid:40397431:sec:results:sent:8,enalapril,sacubitril_valsartan,,,,,,,,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40397431,med:pmid:40397431:sec:results:sent:9,enalapril,sacubitril_valsartan,compared with,,risk,,"{""comparative_terms"": [""compared with""], ""risk_terms"": [""risk""], ""risk_posture_terms"": {""acknowledgment"": [""risk of""]}}","[""comparative_terms"", ""risk_terms"", ""risk_posture:acknowledgment""]",,,,,,,,,,results,,,NEG,-1.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:41126807,med:pmid:41126807:sec:conclusion:sent:15,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,conclusion,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41126807,med:pmid:41126807:sec:results:sent:11,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,results,,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:41126807,med:pmid:41126807:sec:results:sent:9,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40689605,med:pmid:40689605:sec:conclusion:sent:9,enalapril,sacubitril_valsartan,,,risk,,"{""risk_terms"": [""risk""], ""risk_posture_terms"": {""acknowledgment"": [""albeit with"", ""higher symptomatic""]}}","[""risk_terms"", ""risk_posture:acknowledgment""]",alternative,disfavored,favored,"[""preferred_over""]",comparative,comparative_efficacy,0.8,,,conclusion,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40689605,med:pmid:40689605:sec:introduction:sent:3,enalapril,sacubitril_valsartan,versus,,,meta-analysis,"{""comparative_terms"": [""versus""], ""study_context"": [""meta-analysis""]}","[""comparative_terms"", ""study_context""]",,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40660106,med:pmid:40660106:sec:results:sent:8,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40755965,med:pmid:40755965:sec:title:sent:0,enalapril,sacubitril_valsartan,,,,"meta-analysis, review, systematic review","{""study_context"": [""meta-analysis"", ""review"", ""systematic review""]}","[""study_context""]",,,,,,,,,,title,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
ppr:doi:10.21203/rs.3.rs-6768681/v1,ppr:doi:10.21203/rs.3.rs-6768681/v1:sec:results:sent:10,enalapril,sacubitril_valsartan,,combination,,cohort,"{""combination"": [""acei/arb/arni""], ""study_context"": [""cohort""]}","[""relationship:combination"", ""study_context""]",,,,,evidence,clinical_context,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.625816+00:00,2026-01-08 18:35:30
med:pmid:40542996,med:pmid:40542996:sec:results:sent:13,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni"", ""triple therapy""]}","[""relationship:combination""]",,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40540017,med:pmid:40540017:sec:abstract:sent:8,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,,,abstract,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40470816,med:pmid:40470816:sec:results:sent:8,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40450497,med:pmid:40450497:sec:introduction:sent:1,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,introduction,,,NEG,-1.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40418165,med:pmid:40418165:sec:introduction:sent:2,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,introduction,,,NEU,0.5,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40418165,med:pmid:40418165:sec:introduction:sent:3,enalapril,sacubitril_valsartan,versus,,safety,meta-analysis,"{""comparative_terms"": [""versus""], ""risk_terms"": [""safety""], ""study_context"": [""meta-analysis""]}","[""comparative_terms"", ""risk_terms"", ""study_context""]",,,,,,,,,,introduction,,,POS,2.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40353367,med:pmid:40353367:sec:discussion:sent:10,enalapril,sacubitril_valsartan,versus,,,,"{""comparative_terms"": [""versus""], ""claim_strength_terms"": {""suggestive"": [""greater reduction""]}}","[""comparative_terms"", ""claim_strength:suggestive""]",,,,,,,,suggestive,,discussion,,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40353367,med:pmid:40353367:sec:introduction:sent:1,enalapril,sacubitril_valsartan,,,,trial,"{""study_context"": [""trial""]}","[""study_context""]",,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40319618,med:pmid:40319618:sec:conclusion:sent:13,enalapril,sacubitril_valsartan,compared with,,,,"{""comparative_terms"": [""compared with""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.6,,,conclusion,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40319618,med:pmid:40319618:sec:methods:sent:2,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,methods,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40319618,med:pmid:40319618:sec:results:sent:8,enalapril,sacubitril_valsartan,compared with,,,,"{""comparative_terms"": [""compared with""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.6,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40332281,med:pmid:40332281:sec:conclusion:sent:12,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""gdmt""]}","[""relationship:combination""]",,,,,evidence,real_world,0.7,,,conclusion,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40332281,med:pmid:40332281:sec:results:sent:10,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""gdmt""]}","[""relationship:combination""]",,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40332281,med:pmid:40332281:sec:results:sent:8,enalapril,sacubitril_valsartan,,,,,,,,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40332281,med:pmid:40332281:sec:results:sent:9,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""gdmt""]}","[""relationship:combination""]",,,,,evidence,real_world,0.7,,,results,1,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40265590,med:pmid:40265590:sec:introduction:sent:2,enalapril,sacubitril_valsartan,,,safety,,"{""risk_terms"": [""safety""]}","[""risk_terms""]",,,,,,,,,,introduction,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40265590,med:pmid:40265590:sec:results:sent:3,enalapril,sacubitril_valsartan,,,,randomized,"{""study_context"": [""randomized""], ""claim_strength_terms"": {""suggestive"": [""post hoc""]}}","[""study_context"", ""claim_strength:suggestive""]",,,,,evidence,clinical_trial,0.7,suggestive,,results,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40265590,med:pmid:40265590:sec:results:sent:8,enalapril,sacubitril_valsartan,compared with,,risk,,"{""comparative_terms"": [""compared with""], ""risk_terms"": [""risk""], ""risk_posture_terms"": {""acknowledgment"": [""risk of""]}}","[""comparative_terms"", ""risk_terms"", ""risk_posture:acknowledgment""]",,,,,,,,,,results,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40266448,med:pmid:40266448:sec:conclusion:sent:15,enalapril,sacubitril_valsartan,compared to,,,,"{""comparative_terms"": [""compared to""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.6,,,conclusion,1,,POS,1.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40266448,med:pmid:40266448:sec:methods:sent:5,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,,,methods,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:41080832,med:pmid:41080832:sec:abstract:sent:6,enalapril,sacubitril_valsartan,,,,,"{""claim_strength_terms"": {""suggestive"": [""secondary endpoints""]}}","[""claim_strength:suggestive""]",,,,,,,,,,abstract,,,NEU,0.0,lexicon_v1,2026-01-08T18:51:51.609948+00:00,2026-01-08 18:35:30
med:pmid:40283370,med:pmid:40283370:sec:introduction:sent:2,enalapril,sacubitril_valsartan,compared to,,,,"{""comparative_terms"": [""compared to""]}","[""comparative_terms""]",,,,,,,,,,introduction,,,NEG,-1.0,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
med:pmid:40188960,med:pmid:40188960:sec:conclusion:sent:9,enalapril,sacubitril_valsartan,,,,,"{""claim_strength_terms"": {""exploratory"": [""might improve""]}}","[""claim_strength:exploratory""]",,,,,,,,exploratory,,conclusion,,,NEU,0.5,lexicon_v1,2026-01-08T18:51:51.594300+00:00,2026-01-08 18:35:30
