sentence_id,doc_id,section,sent_index,text,start_char,end_char
med:pmid:41455057:sec:abstract:sent:4,med:pmid:41455057,abstract,4,"More recently, the search for a new effective strategy to provide a long-term control of hypertension was recently boosted by the availability of novel technologies, such as the angiotensinogen suppression in the liver realized through the silencing of RNA with zilebesiran, a small interfering RNA (siRNA) agent.",677,990
med:pmid:41455057:sec:abstract:sent:5,med:pmid:41455057,abstract,5,The purpose of this article is to review the available data on Zilebesiran and to discuss in detail potential advantages in the clinical use as well as the still unresolved potential risks.,990,1179
med:pmid:41408894:sec:title:sent:0,med:pmid:41408894,title,0,Contemporary medical therapy for heart failure across the ejection fraction spectrum: The OPTIPHARM-HF registry.,0,112
med:pmid:41408894:sec:introduction:sent:1,med:pmid:41408894,introduction,1,"Despite guideline recommendations, guideline-directed medical therapy (GDMT) remains underused and underdosed in patients with heart failure (HF) across the ejection fraction (EF) spectrum.",0,203
med:pmid:41408894:sec:introduction:sent:2,med:pmid:41408894,introduction,2,"The aim of this study was to evaluate GDMT use, dosing, and implementation in a contemporary, nationwide HF cohort.",204,319
med:pmid:41408894:sec:results:sent:3,med:pmid:41408894,results,3,"The OPTIPHARM-HF (NCT06192524) is a prospective, multicentre, observational study enrolling adult patients with HF, across 32 Italian HF centres.",320,494
med:pmid:41408894:sec:results:sent:4,med:pmid:41408894,results,4,"Clinical characteristics, medical therapy prevalence and change after first visit have been assessed in patients with reduced (HFrEF: EF ≤40%), mildly reduced (HFmrEF: EF 40-49%), and preserved EF (HFpEF: EF ≥50%).",495,709
med:pmid:41408894:sec:results:sent:5,med:pmid:41408894,results,5,"From September 2022 to December 2024, 3054 patients (mean age 69 ± 12 years, 25% female) were enrolled: 56% with HFrEF, 21% with HFmrEF, and 23% with HFpEF.",710,866
med:pmid:41408894:sec:results:sent:6,med:pmid:41408894,results,6,"Among HFrEF, prescription frequencies were: 90% for beta-blockers; 19% for angiotensin-converting enzyme inhibitors (ACEi)/angiotensin II receptor blockers (ARB); 61% for angiotensin receptor-neprilysin inhibitors (ARNI); 72% for mineralocorticoid receptor antagonists (MRA); and 69% for sodium-glucose co-transporter 2 inhibitors (SGLT2i).",867,1207
med:pmid:41408894:sec:results:sent:7,med:pmid:41408894,results,7,Less than 60% achieved ≥50% of target doses.,1208,1252
med:pmid:41408894:sec:results:sent:8,med:pmid:41408894,results,8,Quadruple therapy was received by 47% of the patients.,1253,1307
med:pmid:41408894:sec:results:sent:9,med:pmid:41408894,results,9,"After first visit, there was an increase in prescription of all classes of drugs, and titration to quadruple therapy was attained in 64% (p < 0.001).",1308,1457
med:pmid:41408894:sec:results:sent:10,med:pmid:41408894,results,10,"Among HFmrEF, 88% were on beta-blockers, 34% on ACEi/ARB, 49% on ARNI, 63% on MRA, and 59% on SGLT2i.",1458,1559
med:pmid:41408894:sec:results:sent:11,med:pmid:41408894,results,11,"In the HFpEF group, 76% were on beta-blockers, 49% on ACEi/ARB, 18% on ARNI, 49% on MRA and 40% on SGLT2i.",1560,1666
med:pmid:41408894:sec:results:sent:12,med:pmid:41408894,results,12,"After the first visit, SGLT2i prescription significantly increased both in HFmrEF (74%, p < 0.001) and HFpEF (54%, p < 0.001).",1667,1793
med:pmid:41408894:sec:conclusion:sent:13,med:pmid:41408894,conclusion,13,Use of GDMT remains suboptimal across the EF spectrum although the adoption of quadruple GDMT in HFrEF and of SGLT2i in HFmrEF and HFpEF increased in recent years.,1794,1978
med:pmid:41379379:sec:title:sent:0,med:pmid:41379379,title,0,Victoria and Victor: event-driven lessons for integrating vericiguat into practice and reducing residual risk in HFrEF.,0,119
med:pmid:41379379:sec:abstract:sent:1,med:pmid:41379379,abstract,1,"Chronic heart failure with reduced ejection fraction (HFrEF) is a progressive syndrome associated with substantial residual morbidity and mortality despite contemporary guideline-directed medical therapy (GDMT) - angiotensin-converting enzyme inhibitors (ACEIs)/angiotensin receptor blockers (ARBs)/angiotensin receptor-neprilysin inhibitors (ARNIs), beta-blockers, mineralocorticoid receptor antagonists (MRAs) and sodium-glucose cotransporter-2 inhibitors (SGLT2is) [1].",0,472
med:pmid:41379379:sec:abstract:sent:2,med:pmid:41379379,abstract,2,"Consequently, the need for novel therapeutic strategies has led to the exploration of new drug classes and pathways.",473,589
med:pmid:41379379:sec:abstract:sent:3,med:pmid:41379379,abstract,3,"In HF, impaired nitric-oxide (NO) signaling, reduced soluble guanylate cyclase (sGC) responsiveness/abundance, and downstream attenuation of cyclic guanosine monophosphate (cGMP) contribute to disease progression [2].",590,807
med:pmid:41379379:sec:abstract:sent:4,med:pmid:41379379,abstract,4,"Vericiguat-an oral sGC stimulator-sensitizes sGC to endogenous NO and directly stimulates the enzyme, thereby restoring cGMP signaling in vascular smooth muscle and cardiomyocytes.",808,988
med:pmid:40910162:sec:title:sent:0,med:pmid:40910162,title,0,Network Meta-Analysis of Quality of Life in Heart Failure With Reduced Ejection Fraction.,0,89
med:pmid:40910162:sec:introduction:sent:1,med:pmid:40910162,introduction,1,"Although the effects of various combinations of treatments on mortality and morbidity outcomes in heart failure with reduced ejection fraction (HFrEF) have been evaluated, the impact on quality of life is unknown.",0,233
med:pmid:40910162:sec:introduction:sent:2,med:pmid:40910162,introduction,2,This study evaluated and compared the composite impact of pharmacological therapies on quality of life in HFrEF using a frequentist network meta-analysis and systematic review methodology.,234,422
med:pmid:40910162:sec:methods:sent:3,med:pmid:40910162,methods,3,"We searched MEDLINE, EMBASE, and Cochrane Central Register of Controlled Trials for randomized controlled trials published between January 1, 2021 and August 10, 2024.",423,607
med:pmid:40910162:sec:methods:sent:4,med:pmid:40910162,methods,4,We included all contemporary and efficacious HFrEF therapies used in adults.,608,684
med:pmid:40910162:sec:methods:sent:5,med:pmid:40910162,methods,5,"The primary outcome was change in quality of life measured through the Kansas City Cardiomyopathy Questionnaire and the Minnesota Living with Heart Failure Questionnaire, expressed as mean difference (MD).",685,890
med:pmid:40910162:sec:results:sent:6,med:pmid:40910162,results,6,We identified 41 randomized controlled trials representing 41 145 patients (76.5% male).,891,996
med:pmid:40910162:sec:results:sent:7,med:pmid:40910162,results,7,"The trials had a median of 276 participants (105-464), a mean left ventricular ejection fraction of 28%, and a median follow-up time of 5 months (3-8).",997,1148
med:pmid:40910162:sec:results:sent:8,med:pmid:40910162,results,8,"A combination of angiotensin receptor blocker/neprilysin inhibitors (ARNi)+β-blockers (BB)+sodium-glucose cotransporter 2 inhibitors (SGLT2i; MD, +5.3 [+0.4, +10.3]) was the most effective at improving quality of life followed by ARNi+BB+mineralocorticoid receptor antagonists (MRA)+SGLT2i (MD, +7.1 [-1.0 to +15.2]), ACE inhibitor+BB+MRA+SGLT2i (MD, +5.3 [-2.6, to +13.3]), and ACE inhibitor+BB+MRA+ivabradine (MD, +5.2 [-3.1 to +13.6]), which were not statistically significant.",1149,1629
med:pmid:40910162:sec:results:sent:9,med:pmid:40910162,results,9,"Individually, the most effective treatments for improving quality of life were SGLT2i (MD, +3.4 [+1.4 to +5.30]), ivabradine (MD, +3.3 [+0.1 to +6.4]), ARNi (MD, +2.6 [-3.2 to +8.5]), and MRA (MD, +1.8 [-4.8 to +8.4]).",1630,1848
med:pmid:40910162:sec:conclusion:sent:10,med:pmid:40910162,conclusion,10,A composite of ARNi+BB+SGLT2i or ARNi+BB+MRA+SGLT2i was the most effective at improving quality of life in patients with HFrEF.,1849,1997
med:pmid:40105368:sec:title:sent:0,med:pmid:40105368,title,0,OPTIHEART: determinants and prognostic importance of optimal medical treatment in patients with heart failure with reduced ejection fraction discharged from a heart failure clinic from 2018 to 2020.,0,198
med:pmid:40105368:sec:introduction:sent:1,med:pmid:40105368,introduction,1,Heart failure (HF) is an increasing health problem globally.,0,80
med:pmid:40105368:sec:introduction:sent:2,med:pmid:40105368,introduction,2,"Profound sex-related differences have been observed regarding the cause, treatment, and prognosis of HF.",81,185
med:pmid:40105368:sec:introduction:sent:3,med:pmid:40105368,introduction,3,To assess baseline predictors for achieving optimal medical treatment (OMT) and the prognostic importance of OMT for male and female patients who have attended a HF clinical program (HFCP).,186,388
med:pmid:40105368:sec:methods:sent:4,med:pmid:40105368,methods,4,"OPTIHEART was a retrospective study that included 870 consecutive patients with left ventricular ejection fraction (LVEF)≤40% discharged from HFCP in 2018, 2019 or 2020 and followed in registers for a mean of 1083(SD 11.3) days.",389,634
med:pmid:40105368:sec:methods:sent:5,med:pmid:40105368,methods,5,"OMT was defined as receiving an angiotensin-converting-enzyme-inhibitor (ACEi), angiotensin-receptor blocker (ARB) or angiotensin-II-receptor blocker and nephrylisin-inhibitor (ARNI) AND a betablocker (BB) both in doses ≥ 50% of target doses.",635,877
med:pmid:40105368:sec:results:sent:6,med:pmid:40105368,results,6,"Achieving OMT was associated with male sex (OR: 2.05 95%CI 1.44-2.97; <i>p</i> < 0.0001) independently of younger age, higher diastolic blood pressure (DBP), and lower creatinine.",878,1074
med:pmid:40105368:sec:results:sent:7,med:pmid:40105368,results,7,"A lower rate of 5-point MACE was associated with achieved OMT (HR: 0.67 95%CI 0.50-0.90; <i>p</i> = 0.007) independently of female sex (HR: 0.64 95%CI 0.48-0.84; <i>p</i> = 0.002), younger age, never smoking and NYHA ≤ 2.",1075,1296
med:pmid:40105368:sec:results:sent:8,med:pmid:40105368,results,8,"The beneficial effect of OMT was insignificantly more pronounced in patients with male sex, older age, higher creatinine, lower DBP, and body mass index ≤25kg/m<sup>2</sup>.",1297,1470
med:pmid:40105368:sec:conclusion:sent:9,med:pmid:40105368,conclusion,9,"OMT was more frequently achieved in patients with male sex independently of age, DBP, and creatinine.",1471,1592
med:pmid:40105368:sec:conclusion:sent:10,med:pmid:40105368,conclusion,10,"Achieving OMT was associated with less 5-point MACE independently of female sex, younger age, never smoking and NYHA ≤ 2.",1593,1714
med:pmid:39687932:sec:title:sent:0,med:pmid:39687932,title,0,"Characteristics, outcomes and the necessity of continued guideline-directed medical therapy in patients with heart failure with improved ejection fraction.",0,155
med:pmid:39687932:sec:introduction:sent:1,med:pmid:39687932,introduction,1,Much remains to be learned about patients with heart failure with improved ejection fraction (HFimpEF).,0,123
med:pmid:39687932:sec:introduction:sent:2,med:pmid:39687932,introduction,2,"This study sheds light on the characteristics and clinical outcomes of HFimpEF patients, including the consequences of halting guideline-directed medical therapy (GDMT).",124,312
med:pmid:39687932:sec:methods:sent:3,med:pmid:39687932,methods,3,This retrospective study was conducted on patients diagnosed with heart failure with reduced ejection fraction (HFrEF) who underwent a second echocardiogram at least 6 months apart between January 2009 and February 2023.,313,550
med:pmid:39687932:sec:methods:sent:4,med:pmid:39687932,methods,4,"The primary outcomes were major adverse cardiovascular events (MACEs), including all-cause mortality and heart failure hospitalization.",551,686
med:pmid:39687932:sec:methods:sent:5,med:pmid:39687932,methods,5,The second outcome was recurrent HFrEF.,687,726
med:pmid:39687932:sec:results:sent:6,med:pmid:39687932,results,6,"Of 4,560 HFrEF patients were included, 3,289 (72.1%) achieved HFimpEF within a median follow-up period of 3.4 years (IQR: 1.8 - 5.9 years).",727,883
med:pmid:39687932:sec:results:sent:7,med:pmid:39687932,results,7,"Among these HFimpEF patients, recurrent HFrEF was observed in 941 (28.6%) patients during a median follow-up period of 2.3 years (IQR: 0.8-4.6 years).",884,1034
med:pmid:39687932:sec:results:sent:8,med:pmid:39687932,results,8,"The proportion of patients who halted GDMT was 70.4%, 53.2%, 59.8% and 63.8% for MRA, beta-blockers, ACEI/ARB/ARNI and SGLT-2 inhibitors.",1035,1172
med:pmid:39687932:sec:results:sent:9,med:pmid:39687932,results,9,"Multivariable Cox analysis revealed ischemic heart disease, chronic kidney disease, coronary heart disease, lower left ventricular ejection fraction, larger left ventricular diastolic dimension and non-use GDMT are associated with recurrent HFrEF.",1173,1420
med:pmid:39687932:sec:results:sent:10,med:pmid:39687932,results,10,Individuals without GDMT use exhibited lower chances of persistently recovering ejection fraction and high risks of MACEs compared to those who continue use.,1421,1578
med:pmid:39687932:sec:conclusion:sent:11,med:pmid:39687932,conclusion,11,HFimpEF is a common condition across all clinical follow-ups.,1579,1661
med:pmid:39687932:sec:conclusion:sent:12,med:pmid:39687932,conclusion,12,"Prevalent discontinuation of GDMT medications may contribute significantly to recurrent HFrEF, placing patients at a higher risk for poor prognosis.",1662,1810
med:pmid:41377094:sec:title:sent:0,med:pmid:41377094,title,0,Impact of socio-demographic and ethnic determinants in guideline-directed medical therapy implementation during heart failure hospitalization.,0,142
med:pmid:41377094:sec:introduction:sent:1,med:pmid:41377094,introduction,1,To assess for the first time the impact of socio-demographic variables on prescription of guideline-directed medical therapy (GDMT) after an episode of heart failure (HF) decompensation in the Italian healthcare system.,0,233
med:pmid:41377094:sec:results:sent:2,med:pmid:41377094,results,2,"Utilizing 'GENERATOR-HF DataMart', a cross-sectional analysis was performed.",234,339
med:pmid:41377094:sec:results:sent:3,med:pmid:41377094,results,3,We included patients with HF and reduced ejection fraction discharged between January 2019 and July 2024.,340,445
med:pmid:41377094:sec:results:sent:4,med:pmid:41377094,results,4,"The degree of GDMT implementation across the different socio-demographic variables (i.e. patient's age, sex, marital status, nationality, place of residence, and educational level) was evaluated through the modified optimal medical therapy (mOMT) score (i.e. a ratio between the number of pillars actually prescribed and the number of pillars that could be prescribed on the basis of each specific contraindication).",446,862
med:pmid:41377094:sec:results:sent:5,med:pmid:41377094,results,5,A multivariable logistic regression model was also fitted to assess the association between the socio-demographic variables and the prescription of each pillar and loop diuretics.,863,1042
med:pmid:41377094:sec:results:sent:6,med:pmid:41377094,results,6,1730 patients (median age: 72 years; 24% females) were included.,1043,1107
med:pmid:41377094:sec:results:sent:7,med:pmid:41377094,results,7,"The mOMT score was significantly lower in elderly patients, but comparable across other pre-specified socio-demographic categories.",1108,1239
med:pmid:41377094:sec:results:sent:8,med:pmid:41377094,results,8,"In multivariable regression analysis, older age was the only independent socio-demographic predictor of under-prescription both overall and for ACEi/ARB/ARNI (OR0.70; 95% CI 0.55-0.89), beta-blockers (OR0.59; 95% CI 0.41-0.84) and SGLT2i (OR0.66, 95% CI 0.47-0.93), while also associated with a loop diuretics use (OR1.56; 95% CI 1.13-2.17).",1240,1581
med:pmid:41377094:sec:results:sent:9,med:pmid:41377094,results,9,A higher mOMT score was significantly associated with a reduced incidence of early adverse events (i.e. 30-day all-cause death and urgent re-admissions) (4.1% vs. 8.5%; <i>P</i> = 0.001).,1582,1769
med:pmid:41377094:sec:conclusion:sent:10,med:pmid:41377094,conclusion,10,"Older age was the only independent predictor of under-prescription of GDMT and enhanced use of loop diuretics, whereas no discrepancies were found across the other socio-demographic subgroups.",1770,1982
med:pmid:41303015:sec:title:sent:0,med:pmid:41303015,title,0,Assessment of Pharmacotherapy Modifications During the Treatment of Episodes of Acutely Decompensated Heart Failure: The HEROES Study.,0,134
med:pmid:41303015:sec:introduction:sent:1,med:pmid:41303015,introduction,1,</b> Urgent hospitalization due to acutely decompensated heart failure (ADHF) is an unfavorable event in the trajectory of this disease.,0,161
med:pmid:41303015:sec:introduction:sent:2,med:pmid:41303015,introduction,2,Patient condition during decompensation frequently limits opportunities to implement and optimize guideline-directed medical therapy (GDMT).,162,302
med:pmid:41303015:sec:introduction:sent:3,med:pmid:41303015,introduction,3,"To define the tasks of post-hospital care, it is essential to gain knowledge regarding the extent of GDMT implementation on the day of discharge after ADHF episodes.",303,468
med:pmid:41303015:sec:introduction:sent:4,med:pmid:41303015,introduction,4,"The purpose of this analisis was to evaluate GDMT changes during hospitalization due to ADHF, with a particular emphasis on patients with reduced ejection fraction.",469,633
med:pmid:41303015:sec:introduction:sent:5,med:pmid:41303015,introduction,5,<b>Methods:</b> The analysis was conducted in a group of 262 patients hospitalized due to ADHF and with known left ventricular ejection fraction (LVEF).,634,786
med:pmid:41303015:sec:introduction:sent:6,med:pmid:41303015,introduction,6,"The HEROES study was a prospective, multi-center, observational study.",787,857
med:pmid:41303015:sec:introduction:sent:7,med:pmid:41303015,introduction,7,"<b>Results:</b> The mean age in the study group (196 men and 66 women) was 67.6 ± 14.6 years, with a mean LVEF of 33.9 ± 14.8%.",858,985
med:pmid:41303015:sec:introduction:sent:8,med:pmid:41303015,introduction,8,Six patients died during hospitalization.,986,1027
med:pmid:41303015:sec:introduction:sent:9,med:pmid:41303015,introduction,9,"In the analysis for the whole group (regardless of ejection fraction [EF]), ARNI (angiotensin receptor-neprilysin inhibitor)/ACEI (angiotensin-converting enzyme inhibitor)/ARB (angiotensin receptor blocker) use increased from 63.3% of the subjects at admission to 81.3% at discharge, beta-blocker use increased from 70.6% to 92.6%, MRA (mineralocorticoid receptor antagonist) use increased from 43.1% to 75.8%, and SGLT2i (sodium-glucose co-transporter 2 inhibitor) use increased from 30.1% to 75.0%.",1028,1528
med:pmid:41303015:sec:introduction:sent:10,med:pmid:41303015,introduction,10,"ARNI/ACEI/ARB therapy was optimized in 48.4% of the subjects, with optimization rates of 37.9%, 40.2%, and 44.1% for beta-blockers, MRAs, and SGLT2is, respectively.",1529,1693
med:pmid:41303015:sec:introduction:sent:11,med:pmid:41303015,introduction,11,"However, only 38 (22.0%) patients reached the level of treatment corresponding to ""SGLT2i and ARNI/ACEI/ARB and betablocker and MRA in doses ≥ 50%"".",1694,1842
med:pmid:41303015:sec:introduction:sent:12,med:pmid:41303015,introduction,12,"<b>Conclusions:</b> In patients hospitalized due to ADHF in the HEROES study, the use of GDMT at discharge was significantly higher than at admission.",1843,1993
med:pmid:41303015:sec:introduction:sent:13,med:pmid:41303015,introduction,13,"In patients with reduced ejection fraction, GDMTs from all drug classes were prescribed to over 80% of patients.",1994,2106
med:pmid:41303015:sec:introduction:sent:14,med:pmid:41303015,introduction,14,"However, an insufficient number of patients attained high doses of GDMT, which emphasizes the need for effective dose up-titration in outpatient settings.",2107,2261
med:pmid:41296625:sec:title:sent:0,med:pmid:41296625,title,0,Neurohormonal therapies at baseline and follow-up and survival in wild-type transthyretin cardiac amyloidosis.,0,110
med:pmid:41296625:sec:introduction:sent:1,med:pmid:41296625,introduction,1,Transthyretin cardiac amyloidosis (ATTR-CA) typically manifests with heart failure.,0,103
med:pmid:41296625:sec:introduction:sent:2,med:pmid:41296625,introduction,2,Discontinuing beta-blockers and avoiding angiotensin-converting enzyme inhibitors/angiotensin receptor blockers (ACEi/ARB) in patients with ATTR-CA has been recommended.,104,273
med:pmid:41296625:sec:methods:sent:3,med:pmid:41296625,methods,3,We investigated the prescription of neurohormonal therapies and their relationship with all-cause mortality in a multicenter cohort.,274,423
med:pmid:41296625:sec:results:sent:4,med:pmid:41296625,results,4,"Patients (n = 926) had a median age of 79 years (interquartile range 74-83), 90% were men, 17% had a left ventricular ejection fraction (LVEF) 40% or less, and 27% were in New York Heart Association (NYHA) class III/IV.",424,660
med:pmid:41296625:sec:results:sent:5,med:pmid:41296625,results,5,"At diagnosis, 60% of patients were on beta-blockers, 58% on ACEi/ARB/ARNI, and 35% on MRA.",661,751
med:pmid:41296625:sec:results:sent:6,med:pmid:41296625,results,6,"Patients on beta-blockers had more often NYHA class III/IV, a greater burden of comorbidities, and lower LVEF, and those on ACEi/ARB/ARNI had more comorbidities.",752,913
med:pmid:41296625:sec:results:sent:7,med:pmid:41296625,results,7,"Nonetheless, the survival of patients on beta-blockers or ACEi/ARB/ARNI was not significantly shorter over a 2.5-year follow-up (1.6-3.8) (P = 0.577 and P = 0.977, respectively), and patients on both drugs did not have a worse outcome than those not receiving any neurohormonal drug (P = 0.575).",914,1209
med:pmid:41296625:sec:results:sent:8,med:pmid:41296625,results,8,"During the entire follow-up, the number of neurohormonal drugs remained unchanged in 54%, decreased in 27%, and increased in 19%.",1210,1339
med:pmid:41296625:sec:results:sent:9,med:pmid:41296625,results,9,"Patients with a number of neurohormonal drugs either unchanged or increased had a lower risk of mortality (odds ratio 0.71, 95% confidence interval 0.53-0.95, P = 0.023).",1340,1510
med:pmid:41296625:sec:conclusion:sent:10,med:pmid:41296625,conclusion,10,ATTRwt-CA patients on beta-blockers or ACEi/ARB/ARNI at diagnosis did not have a shorter survival.,1511,1629
med:pmid:41296625:sec:conclusion:sent:11,med:pmid:41296625,conclusion,11,Beta-blockers were discontinued less often than were ACEi/ARB/ARNI.,1630,1697
med:pmid:41296625:sec:conclusion:sent:12,med:pmid:41296625,conclusion,12,"There was no sign of better outcomes in patients discontinuing these therapies, or worse outcomes in those starting them.",1698,1819
med:pmid:41287294:sec:title:sent:0,med:pmid:41287294,title,0,[The influence of two-way referral model on treatment and prognosis of patients with chronic heart failure].,0,108
med:pmid:41287294:sec:abstract:sent:1,med:pmid:41287294,abstract,1,<b>Objective:</b> To explore the impact of the two-way referral model on compliance and prognosis in patients with heart failure.,0,129
med:pmid:41287294:sec:abstract:sent:2,med:pmid:41287294,abstract,2,<b>Methods:</b> This bidirectional cohort study enrolled chronic heart failure (CHF) patients treated at Qilu Hospital of Shandong University or designated primary hospitals between March 2018 and March 2022.,130,338
med:pmid:41287294:sec:abstract:sent:3,med:pmid:41287294,abstract,3,Patients were categorized into two groups based on referral status: two-way referral group (participating in the referral model with≥1 follow-up visit at primary hospitals) and the core hospital group (receiving treatment and follow-up exclusively at Qilu Hospital).,339,605
med:pmid:41287294:sec:abstract:sent:4,med:pmid:41287294,abstract,4,Baseline clinical characteristics were collected and compared between groups.,606,683
med:pmid:41287294:sec:abstract:sent:5,med:pmid:41287294,abstract,5,"Patients underwent followed-up, with primary endpoints including follow-up rate, drug (β-blockers, angiotension converting enzyme inhibitor (ACEI)/angiotensin Ⅱ receptor blockers (ARB)/angiotensin receptor-neprilysin inhibitor (ARNI), sodium-glucose cotransporter 2 inhibitors and mineralocorticoid receptor antagonists) utilization rate and target dose achievement rate.",684,1055
