sentence_id,narrative_type,narrative_subtype,product_a,product_b,sentence_text,section,publication_date,narrative_confidence,is_correct
med:pmid:40839760:sec:results:sent:5,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,Changes in LSS severity at 8 months were analysed using ordinal logistic regression models to estimate the effect of sacubitril/valsartan vs. enalapril or valsartan.,results,2025-11-01,0.6,
med:pmid:39888167:sec:results:sent:8,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Patients in the sacubitril/valsartan cohort when compared with the ACEi/ARB cohort had lower annual rates of all-cause hospitalizations [incidence rate ratio (IRR): 0.81, 95% confidence interval (CI): 0.75-0.89, P < 0.001], cardiovascular (CV) hospitalizations (IRR: 0.80, 95% CI: 0.73-0.87, P < 0.001) and HF hospitalizations (IRR: 0.86, 95% CI: 0.78-0.95, P = 0.002).",results,2025-01-30,0.6,
med:pmid:39497472:sec:results:sent:12,evidence,real_world,enalapril,sacubitril_valsartan,<h4>Conclusion and relevance</h4> This is the first study to our knowledge to describe real-world prescribing practices when transitioning patients from ACEi to ARNI for the treatment of HFrEF.,results,2024-11-04,0.72,
med:pmid:39888167:sec:conclusion:sent:9,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Among patients with de novo HFrEF, sacubitril/valsartan (compared with that of ACEi/ARB) was associated with fewer all-cause, CV and HF hospitalizations.",conclusion,2025-01-30,0.6,
med:pmid:40353367:sec:results:sent:5,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,"Associations between baseline NT-proBNP levels, changes post-baseline and the risk of HF clinical events in paediatric patients on sacubitril/valsartan or enalapril were assessed.",results,2025-05-12,0.9,
med:pmid:40265590:sec:results:sent:3,evidence,clinical_trial,enalapril,sacubitril_valsartan,This post hoc analysis of PARADIGM-HF examined sex-based outcomes in patients with HF and reduced ejection fraction randomized to sacubitril/valsartan or enalapril.,results,2025-04-23,0.7,
med:pmid:39661383:sec:results:sent:11,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"In adjusted logistic regression models, compared with period 1, patients discharged during period 2 and period 3 were found to have a 3.81-fold (95% CI, 3.65-3.98) and 9.15-fold (95% CI, 8.79-9.52) increased odds of ARNI prescription at discharge, and a 0.46 (95% CI, 0.45-0.48) and 0.25 (95% CI, 0.24-0.26) decreased odds of ACEI or ARB prescription at discharge.",results,2025-03-01,0.6,
med:pmid:40101251:sec:results:sent:11,positioning,combination,enalapril,sacubitril_valsartan,"The mean number of days to achieve titration ranged from 20.2 days for mineralocorticoid receptor antagonist drugs, between 27.5 to 32.3 days for ACEI/ARB/ARNI drugs and 41.0 days for beta-blockers; 70 (79%) patients completed the satisfaction survey at least once, with more than 98% of survey questions receiving a positive response.",results,2025-03-18,0.85,
med:pmid:41084891:sec:results:sent:9,positioning,combination,enalapril,sacubitril_valsartan,"However, only 64 patients (22.3%) attained the 4‑pillar GDMT of SGLT2i, ARNI/ACEI/ARB, β‑blockers, and MRA at doses equal to or above 50% of the target dose.",results,2025-10-14,0.85,
med:pmid:39439294:sec:results:sent:3,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"PARADIGM-HF and PARAGON-HF were randomized trials testing sacubitril/valsartan versus enalapril or valsartan, respectively, in patients with HF and LVEF ≤40% (PARADIGM-HF) or LVEF ≥45% (PARAGON-HF).",results,2024-10-22,0.6,
med:pmid:40232857:sec:results:sent:4,positioning,combination,enalapril,sacubitril_valsartan,"Early quadruple therapy was defined as the prescription of beta-blockers, angiotensin-converting enzyme inhibitors (ACEIs)/angiotensin receptor blockers (ARBs)/angiotensin receptor-neprilysin inhibitors (ARNIs), mineralocorticoid receptor antagonists (MRAs) and sodium-glucose cotransporter-2 inhibitors (SGLT2is) within 48 h of admission.",results,2025-04-15,0.85,
med:pmid:41070303:sec:title:sent:0,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,The efficacy and safety of left bundle branch pacing combined with sacubitril/valsartan or enalapril in the treatment of elderly coronary heart disease with chronic heart failure.,results,2025-09-01,0.9,
med:pmid:40332281:sec:results:sent:9,positioning,combination,enalapril,sacubitril_valsartan,"71,7% were using enalapril, losartan or ARNi above 50% of GDMT target doses; 81,2% were using beta-blockers and 100% were using spironolactone.",results,2025-05-02,0.85,
med:pmid:41335448:sec:results:sent:8,evidence,clinical_trial,enalapril,sacubitril_valsartan,"Overall, 462 participants were randomized to receive sacubitril/valsartan and 460 to receive enalapril (mean [SD] age, 64.2 [10.8] years; 387 [42.0%] were female).",results,2026-01-01,0.7,
med:pmid:40689605:sec:conclusion:sent:9,safety,safety_acknowledgment,enalapril,sacubitril_valsartan,"initiation of ARNI after ADHF stabilization is more effective than ACEIs/ARBs for cardiovascular and renal outcomes, albeit with higher symptomatic hypotension risk.",conclusion,2025-07-21,0.9,
med:pmid:39829077:sec:results:sent:10,positioning,combination,enalapril,sacubitril_valsartan,"Among the 93.8% on some form of GDMT, 82.8%, 81.4%, 23.5%, 3.6% and 13.4% were on ACEis/ARBs/ARNis, BBs, MRAs, SGLT2is and vasodilators (Black patients only), respectively.",results,2025-01-19,0.85,
med:pmid:40873622:sec:results:sent:6,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"ARNI significantly reduced MEE after 1 year compared with the ACEI/ARB [(129.61 ± 40.81) kcal/min vs. (154.49 ± 47.58) kcal/min, <i>P</i> < 0.01].",results,2025-08-12,0.6,
med:pmid:40268473:sec:results:sent:2,positioning,switching,enalapril,sacubitril_valsartan,Sixty-four HF outpatients with LVEF <50% were randomized to ARNI (switching from an angiotensin-converting enzyme inhibitor/angiotensin receptor blocker [ACEi/ARB] to ARNI) or control (continuing with ACEi/ARB).,results,2025-04-24,0.7,
med:pmid:41079061:sec:results:sent:9,positioning,combination,enalapril,sacubitril_valsartan,"The most expensive medication regime for HF in Venezuela was ARNI-based GDMT with a median monthly cost of 393.81USD, followed by ARB-based GDMT and ACEi-based GDMT costing $100.88USD and $82.23USD respectively.",results,2025-10-09,0.85,
med:pmid:40575771:sec:results:sent:11,positioning,combination,enalapril,sacubitril_valsartan,"Currently, GDMT recommendations mainly include five types of drugs: diuretics, angiotensin receptor-neprilysin inhibitors (ARNIs), renin-angiotensin system inhibitors (ACEIs/ARBs), beta-blockers, mineralocorticoid receptor antagonists (MRAs), and sodium-glucose cotransporter-2 inhibitors (SGLT-2i).",results,2025-06-12,0.85,
