doc_id,sentence_id,product_a,product_b,section,sentence_text,narrative_type,narrative_subtype,narrative_confidence,narrative_invariant_ok,narrative_invariant_reason
med:pmid:35902033,med:pmid:35902033:sec:results:sent:5,enalapril,sacubitril_valsartan,results,"We examined the use of beta-blockers, HF beta-blockers (metoprolol succinate, carvedilol, bisoprolol), angiotensin converting enzyme inhibitors (ACEis), angiotensin receptor blockers (ARBs), angiotensin receptor neprilysin inhibitors (ARNIS), and mineralocorticoid receptor antagonists (MRAs) in the first year after HFrEF diagnosis.",,,,,
med:pmid:35902033,med:pmid:35902033:sec:results:sent:8,enalapril,sacubitril_valsartan,results,Most eligible patients received beta-blockers (92.6%) and ACEis/ARBs/ARNIs (87.0%) in the first year.,,,,,
med:pmid:35990952,med:pmid:35990952:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,conclusion,"Compared with ACEI/ARB, sacubitril/valsartan was more effective.",,,,,
med:pmid:35990986,med:pmid:35990986:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"Among 679 eligible patients, 155 patients with ARNI treatment and 155 patients with ACEI treatment were included in the analyses.",,,,,
med:pmid:35990986,med:pmid:35990986:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"At a median follow-up of 228 (196-322) days, ARNI as compared with ACEI was associated with a lower risk of AF recurrence [adjusted hazard ratio (HR), 0.39; 95% confidence interval (CI), 0.24-0.63; <i>p</i> < 0.001].",,,,,
med:pmid:35999128,med:pmid:35999128:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"Of the 1,698 patients identified, ACEi/ARB/ARNI, beta blockers and MRA were dispensed in 80.2%, 83.6% and 45.4%, respectively, prior to ICD implant.",,,,,
med:pmid:36051320,med:pmid:36051320:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"Prescription of evidence-based treatment at baseline included sacubitril/valsartan (10%), ACEI (33%), ARB (41%), beta-blocker (79%), diuretics (68%), and MRA (56%).",,,,,
med:pmid:36128010,med:pmid:36128010:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,conclusion,"There was no significant difference between the doses of BB, ACEI, ARB, MRA, or ARNI among HFrEF patients on digoxin compared to those that were not.",,,,,
med:pmid:36128010,med:pmid:36128010:sec:results:sent:10,enalapril,sacubitril_valsartan,results,"There was no significant difference between the two groups in terms of patients receiving higher doses of BB (P = 0.235), ACEI/ARB (P = 0.903), MRA (P = 0.331), or ARNI (P = 0.717).",,,,,
med:pmid:36132549,med:pmid:36132549:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"However, HFpEF patients that underwent ARNI treatment achieved better outcomes than did patients that underwent ACEI treatment.",,,,,
med:pmid:36202739,med:pmid:36202739:sec:results:sent:11,enalapril,sacubitril_valsartan,results,"Pooled across countries, proportions of patients who discontinued therapy (not including switches from ACE inhibitor or ARB to sacubitril/valsartan) within 12 months were 23.5% (dapagliflozin), 26.4% (sacubitril/valsartan), 38.4% (ACE inhibitors), 33.4% (ARBs), 25.2% (beta-blockers), and 42.2% (MRAs).",,,,,
med:pmid:36252108,med:pmid:36252108:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"Achievement of ≥50% target dose was low (beta blocker 45.9%, ACE inhibitor/angiotensin receptor blocker 31.6%, ARNI 19.0%) and for ACE inhibitor/angiotensin receptor blocker/ARNI, decreased over time.",,,,,
med:pmid:36266969,med:pmid:36266969:sec:results:sent:13,enalapril,sacubitril_valsartan,results,"Within the RASi group, persistence was higher for ARNI than for ACEI and ARB.",,,,,
med:pmid:36304540,med:pmid:36304540:sec:results:sent:10,enalapril,sacubitril_valsartan,results,"In terms of the incidence of adverse reactions, the incidence of cough in ARNI was lower than that in ACEI/ARB group [RR = 0.69, 95%CI(0.60, 0.80), <i>P</i> < 0.00001], but the incidence of hypotension was higher [RR = 1.29, 95%CI(1.18, 1.41), <i>P</i> < 0.00001], and the adverse reactions of hyperkalemia, angioedema and renal insufficiency were not increased (<i>P</i> > 0.05).",,,,,
med:pmid:36348348,med:pmid:36348348:sec:conclusion:sent:10,enalapril,sacubitril_valsartan,conclusion,"No treatments were effective in reducing mortality, but ARNIs, ACEIs or SGLT2 inhibitors reduced HF hospitalizations and only SGLT2 inhibitors reduced WHF events for patients with HFpEF.",,,,,
med:pmid:36440034,med:pmid:36440034:sec:results:sent:16,enalapril,sacubitril_valsartan,results,"Among 211 patients who were already in treatment with ACEi/ARB and 36 patients who were sacubitril/valsartan naive, the improvement of cardiac function demonstrated by clinical outcomes and echocardiographic parameters were similar to the previous one of the 247 MHD patients with HFpEF.",,,,,
med:pmid:36443599,med:pmid:36443599:sec:conclusion:sent:8,enalapril,sacubitril_valsartan,conclusion,"In this nationwide real-world study including a population of patients with HF with reduced or mildly reduced EF, ARNI as part of guideline-led Swedish clinical practice was associated with a statistically significant relative risk reduction in all-cause mortality compared with ACEi/ARB.",,,,,
med:pmid:36470212,med:pmid:36470212:sec:results:sent:10,enalapril,sacubitril_valsartan,results,"During hospitalization, the use of RASi (69% vs. 89%) (ACEI/ARBs [58% vs. 70%], ARNI [10% vs. 19%]), βBs (69% vs. 85%), and MRAs (61% vs. 95%) increased significantly (p < 0.05) compared to at admission, and the use of SGLT2i (3% vs. 11%) also rose (p = 0.0005).",,,,,
med:pmid:36475871,med:pmid:36475871:sec:conclusion:sent:10,enalapril,sacubitril_valsartan,conclusion,Sacubitril/valsartan may have the potential to improve HRQoL in heart failure patients with reduced ejection fraction compared with ACEI/ARB.,,,,,
med:pmid:36475871,med:pmid:36475871:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,conclusion,Hypotension is the most common adverse event with sacubitril/valsartan compared with ACEI/ARB.,,,,,
med:pmid:36475871,med:pmid:36475871:sec:results:sent:5,enalapril,sacubitril_valsartan,results,"A total of 8 studies with 17 390 patients (8693 patients used sacubitril/valsartan, and 8697 patients used ACEI/ARB) were included in this study.",,,,,
med:pmid:36475871,med:pmid:36475871:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"The KCCQ overall summary score and its subscales were significantly higher in sacubitril/valsartan compared with ACEI/ARB in heart failure patients with reduced ejection fraction, but were similar in heart failure patients with preserved ejection fraction.",,,,,
med:pmid:36475871,med:pmid:36475871:sec:results:sent:8,enalapril,sacubitril_valsartan,results,Sacubitril/valsartan conferred similar HRQoL scores in MLHFQ and SF-12/36 to ACEI/ARB.,,,,,
med:pmid:36475871,med:pmid:36475871:sec:results:sent:9,enalapril,sacubitril_valsartan,results,The most frequently reported adverse event for sacubitril/valsartan is hypotension and the risk is higher than for ACEI/ARB.,,,,,
med:pmid:36516938,med:pmid:36516938:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"After propensity score matching, 839 patients were matched in each of the ARNI and ACEI/ARB groups.",,,,,
med:pmid:36527023,med:pmid:36527023:sec:conclusion:sent:17,enalapril,sacubitril_valsartan,conclusion,ACEI/ARB also had a beneficial effect but the effect was weaker than that of sacubitril/valsartan.,,,,,
med:pmid:36527023,med:pmid:36527023:sec:results:sent:14,enalapril,sacubitril_valsartan,results,"Compared with ACEI/ARB, sacubitril/valsartan treatment significantly increased the risk of hypoglycaemia among patients with HF (RR 1.85, 95% CI 1.12-3.06, p = 0.02) and HFpEF (RR 3.59, 95% CI 1.51-8.55, p = 0.004).",,,,,
med:pmid:36609948,med:pmid:36609948:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"This study enrolled 3735 HFrEF patients with a mean left ventricular EF of 27.56 ± 5.86%, who had been prescribed sacubitril/valsartan (N = 1708) or ACEI/ARB (N = 2027).",,,,,
med:pmid:36609948,med:pmid:36609948:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"After propensity score matching, the clinical and renal outcomes did not differ between the sacubitril/valsartan and ACEI/ARB groups in patients without CKD.",,,,,
med:pmid:36713022,med:pmid:36713022:sec:results:sent:7,enalapril,sacubitril_valsartan,results,All received angiotensin-converting enzyme inhibitor (ACEI)/angiotensin receptor blocker (ARB)/angiotensin receptor-neprilysin inhibitor (ARNI) at recruitment; 45% received ≥50% maximal targeted dose (MTD) with % MTD of 44.4 ± 31.7%.,,,,,
med:pmid:36713022,med:pmid:36713022:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"At 120 days, 70% received ≥50% MTD ACEI/ARB/ARNI (<i>P</i> = 0.110) with % MTD increased to 64.4 ± 33.5% (<i>P</i> = 0.060).",,,,,
med:pmid:36871177,med:pmid:36871177:sec:results:sent:10,enalapril,sacubitril_valsartan,results,A total of 284 AF events were reported in the sacubitril/valsartan group compared to 256 AF events in ACEIs/ARBs.,,,,,
med:pmid:36871177,med:pmid:36871177:sec:results:sent:11,enalapril,sacubitril_valsartan,results,"Patients on sacubitril/valsartan were as likely as patients on ACEIs/ARBs to develop AF (pooled odds ratio [OR] = 1.091, 95% confidence interval [CI] = 0.917-1.298, p = .324).",,,,,
med:pmid:36871177,med:pmid:36871177:sec:results:sent:12,enalapril,sacubitril_valsartan,results,Six atrial flutter (AFl) events were reported in six trials; 48 out of 9165 patients in the sacubitril/valsartan group developed AFl compared to 46 out of 8759 in ACEi/ARBs group.,,,,,
med:pmid:36871177,med:pmid:36871177:sec:results:sent:14,enalapril,sacubitril_valsartan,results,"Finally, sacubitril/valsartan did not reduce the risk of atrial arrhythmias (AF + AFl) compared to ACEi/ARBs (pooled OR = 1.081, 95% CI = 0.922-1.269, p = .337).",,,,,
med:pmid:36871177,med:pmid:36871177:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"A total of 11 trials including 11,458 patients on sacubitril/valsartan and 10,128 patients on ACEI/ARBs were identified.",,,,,
med:pmid:37115135,med:pmid:37115135:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"Beta-blockers were the most frequently tolerated GDMT (93.1%), followed by ACEIs/ARBs/ARNIs (68.5%), and then MRAs (55.0%).",,,,,
med:pmid:37115135,med:pmid:37115135:sec:results:sent:8,enalapril,sacubitril_valsartan,results,Goal doses were uncommonly achieved for beta-blockers (32.3%) and ACEIs/ARBs/ARNIs (10.2%) due to intolerances limiting titration.,,,,,
med:pmid:37143752,med:pmid:37143752:sec:conclusion:sent:13,enalapril,sacubitril_valsartan,conclusion,Sacubitril/valsartan is associated with better outcomes and may be cost-effective compared to enalapril for the management of HFrEF.,,,,,
med:pmid:37217135,med:pmid:37217135:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"The proportion of patients receiving an angiotensin-converting enzyme inhibitor (ACEI)/ angiotensin II receptor blockers (ARB), an angiotensin receptor-neprilysin inhibitor (ARNi), a sodium-glucose cotransporter 2 inhibitor (SGLT2i), or a mineralocorticoid receptor antagonist (MRA) progressively decreased with lower eGFR categories.",,,,,
med:pmid:37217135,med:pmid:37217135:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"Notably, 32% of the patients with HFrEF and an eGFR <30 mL/min/1.73 m<sup>2</sup> received the combination of ACEI/ARB/ARNi+beta-blockers+MRA+SGLT2i.",,,,,
med:pmid:37313196,med:pmid:37313196:sec:conclusion:sent:12,enalapril,sacubitril_valsartan,conclusion,"Sacubitril/valsartan had better clinical, intermediate, and renal outcomes in HF in comparison to ACEI or ARB.",,,,,
med:pmid:37374004,med:pmid:37374004:sec:conclusion:sent:12,enalapril,sacubitril_valsartan,conclusion,"In current clinical practice, the majority of patients with reduced and mildly-reduced LVEF are treated by ACEI/ARB and beta-blockers early following ACS, whereas MRA is underutilized and the adoption of SGLT2I and ARNI is low.",,,,,
med:pmid:37429446,med:pmid:37429446:sec:results:sent:5,enalapril,sacubitril_valsartan,results,"Compared to the ACEI/ARB group, the ARNI group had greater relative improvement in LV global longitudinal strain (GLS) (28% versus 11% increase from baseline, p < 0.001) and RV-GLS (11% versus 4% increase from baseline, p < 0.001), and greater relative improvement in New York Heart Association functional class (-14 versus -2% change from baseline, p = 0.006) and N-terminal pro-brain natriuretic peptide levels (-29% versus -13% change from baseline, p < 0.001).",,,,,
med:pmid:37435776,med:pmid:37435776:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"SGLT-2 inhibitors reduced the risk of CV death or hospitalization for HF regardless of background use of angiotensin-converting enzyme inhibitors/angiotensin receptor blockers (ACEIs/ARBs), angiotensin receptor-neprilysin inhibitors (ARNIs), b-blockers, diuretics, mineralocorticoid receptor antagonists (MRAs), or triple combination therapy of either an ACEI/ARB plus b-blocker plus MRA, or an ARNI plus b-blocker plus MRA (HRs ranged from 0.61 to 0.83; P > .1 for each subgroup interaction).",,,,,
med:pmid:37558137,med:pmid:37558137:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"216 DCM patients were enrolled (52 years, 78% male, NYHA I-II 82%, LVEF 32%, 94% on ACE inhibitors/ARNI, 95% on beta-blockers).",,,,,
med:pmid:37646297,med:pmid:37646297:sec:results:sent:2,enalapril,sacubitril_valsartan,results,"In this cross-sectional survey, we investigated the price, affordability, and accessibility of four pivotal classes of HFrEF GDMT: angiotensin-converting enzyme inhibitors (ACEi), angiotensin receptor blockers (ARB) or angiotensin-neprilysin inhibitors (ARNI); beta-blockers; mineralocorticoid receptor antagonists (MRA); and sodium glucose co-transporter 2 inhibitors (SGLT2i).",,,,,
med:pmid:37705397,med:pmid:37705397:sec:results:sent:4,enalapril,sacubitril_valsartan,results,The present study enrolled patients with HF with reduced ejection fraction (HFrEF) who were treated with either ARNI or ACEIs/ARBs within 1 year of undergoing index echocardiography.,,,,,
med:pmid:37705397,med:pmid:37705397:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"ARNI had a significantly lower event rate than ACEIs/ARBs in patients with HF with improved ejection fraction (7.0% vs. 30.4%, P = 0.020) and those with persistent HFrEF (17.6% vs. 49.7%, P < 0.001).",,,,,
med:pmid:37705397,med:pmid:37705397:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"Irrespective of whether patients exhibited LV reverse remodelling (15.8% vs. 31.1%, P = 0.001) or not (15.0% vs. 54.9%, P < 0.001), ARNIs were associated with a significantly lower event rate than ACEIs/ARBs.",,,,,
med:pmid:37759279,med:pmid:37759279:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"We reviewed 464 articles, including 144 articles that had information about beta-blockers (BB), 179 articles about angiotensin-converting enzyme inhibitors (ACEi), 75 articles about angiotensin receptor blockers (ARB), 80 articles about diuretics, 37 articles about mineralocorticoid receptor antagonists (MRA), and 33 articles about angiotensin receptor-neprilysin inhibitor (ARNI).",,,,,
med:pmid:37933184,med:pmid:37933184:sec:results:sent:3,enalapril,sacubitril_valsartan,results,Patients (n = 5661) included in the PARADISE MI trial (Prospective ARNI vs. ACE Inhibitor Trial to Determine Superiority in Reducing Heart Failure Events After MI) were stratified according to MRA.,,,,,
med:pmid:37933210,med:pmid:37933210:sec:results:sent:4,enalapril,sacubitril_valsartan,results,"Beta-blockers (BB) were administered to 574 (82%) patients, angiotensin-converting enzyme inhibitors, angiotensin receptor blockers or angiotensin receptor-neprilysin inhibitors (ACEi/ARB/ARNI) were administered to 381 (55%) patients and 416 (60%) received mineralocorticoid receptor antagonists (MRA).",,,,,
med:pmid:37933210,med:pmid:37933210:sec:results:sent:5,enalapril,sacubitril_valsartan,results,"Overall, ≥50% of target doses were reached in 41%, 22%, and 56% of the patients on BB, ACEi/ARB/ARNI and MRA, respectively.",,,,,
med:pmid:37933210,med:pmid:37933210:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"Hypotension, bradycardia, kidney dysfunction and hyperkalaemia were the main causes of underprescription and/or underdosing, but up to a half of the patients did not receive target doses for unknown causes (51%, 41%, and 55% for BB, ACEi/ARB/ARNI and MRA, respectively).",,,,,
med:pmid:37933210,med:pmid:37933210:sec:results:sent:7,enalapril,sacubitril_valsartan,results,The proportions of patients receiving BB and ACEi/ARB/ARNI were lower among those fulfilling the 2018 HFA-ESC criteria for advanced HF.,,,,,
med:pmid:37940331,med:pmid:37940331:sec:conclusion:sent:11,enalapril,sacubitril_valsartan,conclusion,"This study suggested that SGLT2i, ARNI and IVA in addition to ACEI+BB+MRA may be better in prolonging time to develop PCO in HFrEF patients.",,,,,
med:pmid:37940331,med:pmid:37940331:sec:results:sent:8,enalapril,sacubitril_valsartan,results,"Our findings suggested that ACEI+BB+MRA+SGLT2i, BB+MRA+ARNI, and ACEI+BB+MRA+IVA had lower probability of PCOs than the conventional triple therapy (ACEI+BB+MRA).",,,,,
med:pmid:37989299,med:pmid:37989299:sec:conclusion:sent:8,enalapril,sacubitril_valsartan,conclusion,The efficacy of sacubitril/valsartan compared with enalapril was consistent across baseline SBP tertiles in Japanese patients from the PARALLEL-HF study.,,,,,
med:pmid:37989299,med:pmid:37989299:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"The incidence of hypotension-related events and reduction or discontinuation of treatment due to hypotension-related events was higher in the lower SBP subgroup, and these events were more frequent in the sacubitril/valsartan than enalapril group.",,,,,
med:pmid:38032698,med:pmid:38032698:sec:conclusion:sent:12,enalapril,sacubitril_valsartan,conclusion,"Regarding optimal medical therapy, approximately a quarter of the patients still need to receive BB and ACEI/ARB/ARNI, less than half do not receive MRA, and more than two-thirds do not receive SGLT2i.",,,,,
med:pmid:38032698,med:pmid:38032698:sec:results:sent:9,enalapril,sacubitril_valsartan,results,"The percentage of use of the four pharmacological pillars at the time of recruitment was 70.7% for beta-blockers (BB), 77.4% for angiotensin-converting enzyme inhibitor (ACEI)/angiotensin II receptor blocker (ARB II)/angiotensin receptor-neprilysin inhibitor (ARNI), 56.8% for mineralocorticoid receptor antagonists (MRA), and 30.7% for sodium-glucose cotransporter type-2 inhibitors (SGLT2i).",,,,,
med:pmid:38330576,med:pmid:38330576:sec:conclusion:sent:18,enalapril,sacubitril_valsartan,conclusion,The main findings of the study showed that Sacubitril valsartan sodium showed better clinical efficacy than enalapril in patients with heart failure and non-valvular reduced ejection fraction.,,,,,
med:pmid:38508844,med:pmid:38508844:sec:introduction:sent:2,enalapril,sacubitril_valsartan,results,Data from randomized trials of sacubitril/valsartan in HF patients with EF ≤40% (PIONEER-HF [Comparison of Sacubitril/Valsartan Versus Enalapril on Effect of NT-proBNP in Patients Stabilized From an Acute Heart Failure Episode] trial) and >40% (PARAGLIDE-HF [Prospective comparison of ARNI with ARB Given following stabiLization In DEcompensated HFpEF] trial) following recent worsening heart failure (WHF) were pooled to examine treatment effect across the EF spectrum.,,,,,
med:pmid:38513366,med:pmid:38513366:sec:results:sent:4,enalapril,sacubitril_valsartan,results,"The prognostic value of treatment with beta-blockers (BB), angiotensin-converting enzyme inhibitors, receptor blockers, or receptor-neprilysin inhibitor (ACEi/ARB/ARNI), mineralocorticoid receptor antagonists (MRA), and sodium-glucose-linked transport protein 2 inhibitors (SGLT2i) was investigated for all-cause mortality at 30 months (a median follow-up) and HF-related rehospitalization.",,,,,
med:pmid:38555468,med:pmid:38555468:sec:results:sent:10,enalapril,sacubitril_valsartan,results,"LASSO regression identified five important predictors: age, Killip classification, B-type natriuretic peptide precursor (NTpro-BNP), left ventricular ejection fraction (LVEF), and the usage of angiotensin-converting enzyme inhibitors/angiotensin receptor blockers/angiotensin receptor-neprilysin inhibitors (ACEI/ARB/ARNI).",,,,,
med:pmid:38639469,med:pmid:38639469:sec:results:sent:6,enalapril,sacubitril_valsartan,results,"In the nationwide panel, the proportion of patients with versus without WHFE receiving ≥50% of guideline-recommended dose on index visit was 35% versus 40% for beta blocker, 74% versus 83% for ACEI/ARB/ARNI, and 48% versus 49% for MRA.",,,,,
med:pmid:38639469,med:pmid:38639469:sec:results:sent:7,enalapril,sacubitril_valsartan,results,"The proportion of patients receiving ≥50% of guideline-recommended dose was lower in the GHS: 29% versus 34% for beta-blocker, 16% versus 31% for ACEI/ARB/ARNI, and 18% versus 22% for MRA.",,,,,
med:pmid:38783593,med:pmid:38783593:sec:results:sent:12,enalapril,sacubitril_valsartan,results,"In the overall population, ACEi/ARB/ARNi use was less frequent in case of saltSub recommendations (74% vs. 82%, P = 0.012).",,,,,
