sentence_id,narrative_type,narrative_subtype,product_a,product_b,sentence_text,section,publication_date,narrative_confidence,is_correct
med:pmid:35560696:sec:results:sent:3,evidence,clinical_trial,enalapril,sacubitril_valsartan,"Patients in the EVALUATE-HF trial (n = 464) were randomized to sacubitril/valsartan or enalapril for 12 weeks, followed by 12-week open-label sacubitril/valsartan.",results,30-5-2022,0.7,TRUE
med:pmid:39939202:sec:results:sent:11,evidence,real_world,enalapril,sacubitril_valsartan,Increased age was associated with less likelihood of the prescription of ACEIs/ARBs/ARNIs and mineralocorticoid receptor antagonists at any dose and ≥50% target dose.,results,11-2-2025,0.7,TRUE
med:pmid:39105079:sec:conclusion:sent:12,evidence,real_world,enalapril,sacubitril_valsartan,"ARNI has proven effective in treating HFrEF patients; however, significant benefits were not observed in these patients with ESRD undergoing dialysis compared with ACEI/ARB in this real-world cohort.",conclusion,22-7-2024,0.72,TRUE
med:pmid:39888167:sec:results:sent:5,evidence,real_world,enalapril,sacubitril_valsartan,A cohort of 3290 patients with de novo HFrEF who were prescribed with sacubitril/valsartan and a propensity-matched cohort of 6580 patients who were prescribed with ACEi/ARB were analysed.,results,30-1-2025,0.7,TRUE
med:pmid:37705397:sec:conclusion:sent:10,evidence,real_world,enalapril,sacubitril_valsartan,"Regardless of significant treatment response measured by either LVEF or LV reverse remodelling after 1 year of treatment, the extended utilization of ARNI demonstrated a more favourable prognosis than that of ACEIs/ARBs in patients with HFrEF.",conclusion,13-9-2023,0.7,TRUE
med:pmid:35712811:sec:results:sent:6,positioning,line_of_therapy,enalapril,sacubitril_valsartan,"The first group received ARNi on top of BB, while the control group started or continued first-line therapy with ACEi ± BB.",results,16-6-2022,0.83,TRUE
med:pmid:36871177:sec:conclusion:sent:15,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Although sacubitril/valsartan reduces mortality compared to ACEIs/ARBs in HF patients, they do not reduce AF risk compared to these drugs.",conclusion,16-3-2023,0.6,TRUE
med:pmid:41335448:sec:results:sent:12,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"The resulting stratified win ratio was 1.52 (95% CI, 1.28-1.82; P < .001) for sacubitril/valsartan compared with enalapril.",results,1-1-2026,0.6,TRUE
ppr:doi:10.20944/preprints202509.0619.v1:sec:results:sent:11,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Similarly median relative ΔLVEF was higher in the ACEI/ARB subgroup [30% (15.4; 40)] than in the ARNI group [17.5% (7; 31.9), p=0.047].",results,8-9-2025,0.6000000000000001,TRUE
med:pmid:39888167:sec:conclusion:sent:9,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Among patients with de novo HFrEF, sacubitril/valsartan (compared with that of ACEi/ARB) was associated with fewer all-cause, CV and HF hospitalizations.",conclusion,30-1-2025,0.6,TRUE
med:pmid:36943907:sec:results:sent:7,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"The effect of sacubitril/valsartan, compared with enalapril, was consistent across tertiles of ucGMP/BNP ratio at baseline for all outcomes (<i>P</i><sub>interaction</sub> ≥0.31).",results,25-1-2023,0.6,TRUE
med:pmid:37989299:sec:results:sent:6,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Although the P-interaction value was not significant (0.2106), a greater reduction in NT-proBNP with sacubitril/valsartan compared with enalapril was observed in patients with SBP >130 mmHg (P=0.0076).",results,21-11-2023,0.6,TRUE
med:pmid:36516938:sec:conclusion:sent:11,evidence,real_world,enalapril,sacubitril_valsartan,"The use of ARNI was associated with significant reduction in blood pressure as compared to the ACEI/ARB group overall and across the eGFR spectrum, including in advanced chronic kidney disease.",conclusion,11-12-2022,0.7,TRUE
med:pmid:37104912:sec:results:sent:9,access,coverage_access,enalapril,sacubitril_valsartan,"The total required additional investment with treatment of sacubitril/valsartan compared with the full enalapril arm are ₱407 million (at 30-day coverage), ₱800 million (at 60-day coverage), and ₱1.181 billion (at 90-day coverage).",results,25-4-2023,0.65,TRUE
med:pmid:38047039:sec:results:sent:14,evidence,real_world,enalapril,sacubitril_valsartan,"The utilization rate of ACEI/ARB/ARNI, β-blocker were high in management group.",results,27-11-2023,0.7,TRUE
med:pmid:37104912:sec:results:sent:8,access,coverage_access,enalapril,sacubitril_valsartan,"In 5 years, the total cost of treating patients with HFrEF with sacubitril/valsartan at current market coverage and annual growth conditions is ₱15.430 billion, which is ₱11.077 billion higher than fully treating with enalapril only.",results,25-4-2023,0.65,TRUE
med:pmid:38359813:sec:results:sent:7,evidence,real_world,enalapril,sacubitril_valsartan,"Among those individuals, 88.9% were prescribed beta-blockers, 72.3% with ACEI/ARBs, 67.9% with MRAs, and 13.1% with ARNIs.",results,15-2-2024,0.7,TRUE
med:pmid:40115097:sec:results:sent:7,evidence,real_world,enalapril,sacubitril_valsartan,"Compared to the control group, the proportion of patients using NT-proBNP (94.7% <i>vs.</i> 87.3%, P=0.03), echocardiography (88.7% <i>vs.</i> 78.7%, P=0.02), the ratio of patients using ACEI/ARB/ARNI (87.0% <i>vs.</i> 72.2%, P=0.03) and β-blocker (82.7% <i>vs.</i> 66.7%, P=0.03) before discharge, and the follow-up rate of each period after discharge (1 week, 90.7% <i>vs.</i> 80.0%, P=0.01; 1 month, 84.7% <i>vs.</i> 72.0%, P=0.01; 3 months, 76.7% <i>vs.</i> 64.0%, P=0.02; 1 year, 88.0% <i>vs.</i> 79.3%, P=0.04) was higher in the center group.",results,21-2-2025,0.49999999999999994,TRUE
med:pmid:40463763:sec:results:sent:9,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"After a 6-month follow-up period, there was a significant reduction in LV-indexed volumes in the ARNI group (<i>P</i> < 0.001) and indexed left atrial volumes (<i>P</i> = 0.013) compared to the ACEI group.",results,1-1-2025,0.6,TRUE
med:pmid:40319618:sec:results:sent:8,comparative,comparative_efficacy,enalapril,sacubitril_valsartan,"Despite ARNI being more expensive compared with ACEI, it gained more QALYs, resulting in an ICER of RM46 498 per QALY.",results,3-5-2025,0.6,TRUE
med:pmid:41079587:sec:conclusion:sent:13,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Early sacubitril/valsartan use was associated with reduced 1-year AF risk vs. ACEI/ARB in AMI complicated by MR, suggesting a potential role in this population; prospective trials are needed to confirm causality.",conclusion,26-9-2025,0.9,TRUE
med:pmid:41079587:sec:results:sent:9,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Despite a higher baseline risk profile in the Sacubitril/Valsartan group, the 1-year cumulative incidence of AF was lower than in the ACEI/ARB group (CIF 10.8% vs. 17.9%; Gray's test <i>P</i> = 0.002).",results,26-9-2025,0.9,TRUE
med:pmid:39864551:sec:conclusion:sent:12,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Sacubitril/valsartan is a promising alternative to ARB or ACEi in managing RH, offering superior blood pressure reductions and potential benefits in reversing cardiac remodeling, while maintaining a favorable safety profile with minimal risk of serious adverse events.",conclusion,27-1-2025,0.9,TRUE
med:pmid:39284545:sec:conclusion:sent:9,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Incidence of hypotension-related AEs was higher in the sacubitril/valsartan versus enalapril group but did not affect risk of cardiovascular death or HF hospitalization, which was similar between treatment groups.",conclusion,14-9-2024,0.9,TRUE
med:pmid:39284545:sec:results:sent:4,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Of 223 patients, 28.2 % experienced hypotension-related AEs and incidence was higher with sacubitril/valsartan versus enalapril (hazard ratio, 2.2; 95 % CI, 1.3-3.8; p = 0.0027).",results,14-9-2024,0.7,TRUE
med:pmid:39284545:sec:results:sent:8,comparative,comparative_safety,enalapril,sacubitril_valsartan,Reduction in risk of cardiovascular death or HF hospitalization was similar with sacubitril/valsartan versus enalapril in patients with or without hypotension-related AEs.,results,14-9-2024,0.9,TRUE
med:pmid:38513366:sec:results:sent:6,comparative,comparative_safety,enalapril,sacubitril_valsartan,"Treatment with BB [27.0 vs. 35.0%; hazard ratio (HR) = 0.737; 95% confidence interval (CI) 0.617-0.881; P = 0.001], ACEi/ARB/ARNI (25.9 vs. 37.6%; HR = 0.612; 95% CI 0.517-0.725; P = 0.001), and SGLT2i (11.9 vs. 29.5%; HR = 0.441; 95% CI 0.236-0.824; P = 0.010) was associated with a lower risk of 30-month all-cause mortality, which was still demonstrated after multivariable adjustment and propensity score matching.",results,1-8-2024,0.7,TRUE
med:pmid:38084196:sec:results:sent:6,comparative,comparative_safety,enalapril,sacubitril_valsartan,Pooled analysis showed that the risk of all-cause mortality was higher in patients receiving enalapril compared to patients receiving sacubitril/valsartan (risk ratio [RR]: 0.57; 95% CI: 0.31 to 1.04).,results,10-11-2023,0.9,TRUE
med:pmid:38084196:sec:results:sent:7,comparative,comparative_safety,enalapril,sacubitril_valsartan,Risk of cardiovascular mortality was significantly higher in the enalapril group compared to the sacubitril/valsartan group (RR: 0.75; 95% CI: 0.62 to 0.91).,results,10-11-2023,0.9,TRUE
med:pmid:38084196:sec:results:sent:8,comparative,comparative_safety,enalapril,sacubitril_valsartan,The risk of cardiovascular hospitalization was significantly higher in the enalapril group compared to the sacubitril/valsartan group (RR: 0.76; 95% CI: 0.66 to 0.86).,results,10-11-2023,0.9,TRUE
med:pmid:34989105:sec:conclusion:sent:10,comparative,comparative_safety,enalapril,sacubitril_valsartan,"In patients with heart failure, sacubitril/valsartan reduced the risk of serious adverse renal outcomes and slowed decline in eGFR, compared with valsartan or enalapril, independent of baseline renal function.",conclusion,18-1-2022,0.9,TRUE
