doc_id,recency_weight,study_type,study_type_weight,combined_weight,computed_at
med:pmid:27915452,0.0018206005500249816,other,1.0,0.0018206005500249816,2026-01-07 21:05:48
med:pmid:27892684,0.001803395455907116,other,1.0,0.001803395455907116,2026-01-07 21:05:48
med:pmid:27846743,0.0017627636829948524,randomized controlled trial,1.6,0.002820421892791764,2026-01-07 21:05:48
med:pmid:27838930,0.001803395455907116,other,1.0,0.001803395455907116,2026-01-07 21:05:48
med:pmid:27773450,0.0015610282146813492,other,1.0,0.0015610282146813492,2026-01-07 21:05:48
med:pmid:27696692,0.0018803350640398586,other,1.0,0.0018803350640398586,2026-01-07 21:05:48
med:pmid:27678299,0.0015970099770357968,other,1.0,0.0015970099770357968,2026-01-07 21:05:48
med:pmid:27422212,0.001387640256216579,other,1.0,0.001387640256216579,2026-01-07 21:05:48
med:pmid:27189625,0.001247646252559995,other,1.0,0.001247646252559995,2026-01-07 21:05:48
med:pmid:27147280,0.001266745540908767,review,0.9,0.0011400709868178904,2026-01-07 21:05:48
med:pmid:26939870,0.0010799688974529149,other,1.0,0.0010799688974529149,2026-01-07 21:05:48
med:pmid:28357099,0.0018874902815072972,other,1.0,0.0018874902815072972,2026-01-07 21:05:48
med:pmid:27988123,0.001859031747430952,other,1.0,0.001859031747430952,2026-01-07 21:05:48
med:pmid:27955986,0.0018449637927989552,other,1.0,0.0018449637927989552,2026-01-07 21:05:48
med:pmid:27905115,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:48
med:pmid:27903643,0.0018102578959655826,other,1.0,0.0018102578959655826,2026-01-07 21:05:48
med:pmid:27890513,0.0017897485208871469,observational study,1.2,0.0021476982250645763,2026-01-07 21:05:48
med:pmid:27881412,0.0017863529538875576,other,1.0,0.0017863529538875576,2026-01-07 21:05:48
med:pmid:27879415,0.0017829638290641258,other,1.0,0.0017829638290641258,2026-01-07 21:05:48
med:pmid:27847165,0.0017494242230563265,case report,0.7,0.0012245969561394286,2026-01-07 21:05:48
med:pmid:27791272,0.0017002940689377426,other,1.0,0.0017002940689377426,2026-01-07 21:05:48
med:pmid:27766748,0.0016778412287517391,review,0.9,0.0015100571058765653,2026-01-07 21:05:48
med:pmid:27704256,0.001624539542094745,observational study,1.2,0.0019494474505136938,2026-01-07 21:05:48
med:pmid:27585243,0.0017197783531243268,review,0.9,0.001547800517811894,2026-01-07 21:05:48
med:pmid:27542885,0.0017661144106195501,other,1.0,0.0017661144106195501,2026-01-07 21:05:48
med:pmid:27499381,0.0014331691979338817,other,1.0,0.0014331691979338817,2026-01-07 21:05:48
med:pmid:27368123,0.0013132863755177908,observational study,1.2,0.001575943650621349,2026-01-07 21:05:48
med:pmid:27238873,0.0012934853702168104,other,1.0,0.0012934853702168104,2026-01-07 21:05:48
med:pmid:27097815,0.0011830381628913356,review,0.9,0.0010647343466022021,2026-01-07 21:05:48
med:pmid:28123481,0.0018068234179366583,other,1.0,0.0018068234179366583,2026-01-07 21:05:48
med:pmid:28044466,0.0014169320613928427,other,1.0,0.0014169320613928427,2026-01-07 21:05:48
med:pmid:27951539,0.001855504734122045,case report,0.7,0.0012988533138854315,2026-01-07 21:05:48
med:pmid:27872236,0.0017795811341945525,other,1.0,0.0017795811341945525,2026-01-07 21:05:48
med:pmid:27868321,0.001776204857079728,randomized controlled trial,1.6,0.002841927771327565,2026-01-07 21:05:48
med:pmid:27867115,0.0017661144106195501,other,1.0,0.0017661144106195501,2026-01-07 21:05:48
med:pmid:27865641,0.001624539542094745,review,0.9,0.0014620855878852705,2026-01-07 21:05:48
med:pmid:27859873,0.0017627636829948524,other,1.0,0.0017627636829948524,2026-01-07 21:05:48
med:pmid:27849566,0.0017560812870010256,randomized controlled trial,1.6,0.0028097300592016413,2026-01-07 21:05:48
med:pmid:27834686,0.0017427923951304223,randomized controlled trial,1.6,0.002788467832208676,2026-01-07 21:05:48
med:pmid:27826711,0.0017361857075570174,other,1.0,0.0017361857075570174,2026-01-07 21:05:48
med:pmid:27728854,0.0016276275280645164,other,1.0,0.0016276275280645164,2026-01-07 21:05:48
med:pmid:27712852,0.001624539542094745,review,0.9,0.0014620855878852705,2026-01-07 21:05:48
med:pmid:27704319,0.001624539542094745,observational study,1.2,0.0019494474505136938,2026-01-07 21:05:48
med:pmid:27692563,0.001606134269082084,other,1.0,0.001606134269082084,2026-01-07 21:05:48
med:pmid:27682140,0.001606134269082084,review,0.9,0.0014455208421738756,2026-01-07 21:05:48
med:pmid:27641464,0.0015669683774547092,review,0.9,0.0014102715397092383,2026-01-07 21:05:48
med:pmid:27625045,0.0015143104429440122,other,1.0,0.0015143104429440122,2026-01-07 21:05:48
med:pmid:27615013,0.0015551105702525086,review,0.9,0.0013995995132272579,2026-01-07 21:05:48
med:pmid:27599394,0.0015258571468377382,observational study,1.2,0.0018310285762052857,2026-01-07 21:05:48
med:pmid:27569769,0.0014914785079852395,other,1.0,0.0014914785079852395,2026-01-07 21:05:48
med:pmid:27530337,0.0014413574087163625,review,0.9,0.0012972216678447262,2026-01-07 21:05:48
med:pmid:27443525,0.0014223238967256743,other,1.0,0.0014223238967256743,2026-01-07 21:05:48
med:pmid:27378659,0.0013359250585790908,review,0.9,0.0012023325527211817,2026-01-07 21:05:48
med:pmid:27184730,0.0012218540413773654,review,0.9,0.001099668637239629,2026-01-07 21:05:48
med:pmid:27097525,0.0012619434818412776,other,1.0,0.0012619434818412776,2026-01-07 21:05:48
med:pmid:27075034,0.0011239080508886631,review,0.9,0.001011517245799797,2026-01-07 21:05:48
med:pmid:28290818,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:48
med:pmid:28235174,0.0018136989023797457,review,0.9,0.0016323290121417712,2026-01-07 21:05:49
med:pmid:28133581,0.0019018825030523586,case report,0.7,0.001331317752136651,2026-01-07 21:05:49
med:pmid:28045409,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:28033278,0.0018136989023797457,review,0.9,0.0016323290121417712,2026-01-07 21:05:49
med:pmid:28031033,0.001909119714742504,other,1.0,0.001909119714742504,2026-01-07 21:05:49
med:pmid:28003286,0.0018839092757754112,other,1.0,0.0018839092757754112,2026-01-07 21:05:49
med:pmid:27983650,0.001859031747430952,other,1.0,0.001859031747430952,2026-01-07 21:05:49
med:pmid:27982380,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:27977392,0.0016431557277821376,randomized controlled trial,1.6,0.0026290491644514204,2026-01-07 21:05:49
med:pmid:27951594,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:27956439,0.0018136989023797457,review,0.9,0.0016323290121417712,2026-01-07 21:05:49
med:pmid:27920083,0.001827528460430896,randomized controlled trial,1.6,0.002924045536689434,2026-01-07 21:05:49
med:pmid:27908347,0.0018136989023797457,randomized controlled trial,1.6,0.0029019182438075933,2026-01-07 21:05:49
med:pmid:27884302,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:27865680,0.0017661144106195501,observational study,1.2,0.00211933729274346,2026-01-07 21:05:49
med:pmid:27858191,0.0018136989023797457,review,0.9,0.0016323290121417712,2026-01-07 21:05:49
med:pmid:27858115,0.0018136989023797457,review,0.9,0.0016323290121417712,2026-01-07 21:05:49
med:pmid:27837397,0.0018136989023797457,review,0.9,0.0016323290121417712,2026-01-07 21:05:49
med:pmid:27804100,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:27794499,0.0016938484867055892,review,0.9,0.0015244636380350304,2026-01-07 21:05:49
med:pmid:27777360,0.0016874273387939866,other,1.0,0.0016874273387939866,2026-01-07 21:05:49
med:pmid:27719743,0.0018136989023797457,randomized controlled trial,1.6,0.0029019182438075933,2026-01-07 21:05:49
med:pmid:27677980,0.0016030870607970334,other,1.0,0.0016030870607970334,2026-01-07 21:05:49
med:pmid:27673415,0.00164627910009907,review,0.9,0.001481651190089163,2026-01-07 21:05:49
med:pmid:27643473,0.0015433424952961323,other,1.0,0.0015433424952961323,2026-01-07 21:05:49
med:pmid:27614181,0.0015433424952961323,other,1.0,0.0015433424952961323,2026-01-07 21:05:49
med:pmid:27607457,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:27600642,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:27590905,0.0015287575535925255,other,1.0,0.0015287575535925255,2026-01-07 21:05:49
med:pmid:27573807,0.0015258571468377382,review,0.9,0.0013732714321539644,2026-01-07 21:05:49
med:pmid:27562846,0.0015057077930932857,other,1.0,0.0015057077930932857,2026-01-07 21:05:49
med:pmid:27524468,0.001624539542094745,other,1.0,0.001624539542094745,2026-01-07 21:05:49
med:pmid:27515447,0.0014662038048735761,other,1.0,0.0014662038048735761,2026-01-07 21:05:49
med:pmid:27489053,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:27414476,0.0018136989023797457,observational study,1.2,0.002176438682855695,2026-01-07 21:05:49
med:pmid:27380949,0.001366718184243994,other,1.0,0.001366718184243994,2026-01-07 21:05:49
med:pmid:27291837,0.001300875517081994,other,1.0,0.001300875517081994,2026-01-07 21:05:49
med:pmid:27277596,0.001298407455270613,review,0.9,0.0011685667097435517,2026-01-07 21:05:49
med:pmid:27248440,0.0018136989023797457,randomized controlled trial,1.6,0.0029019182438075933,2026-01-07 21:05:49
med:pmid:27080979,0.0011696348939599218,other,1.0,0.0011696348939599218,2026-01-07 21:05:49
med:pmid:26328808,0.0018136989023797457,other,1.0,0.0018136989023797457,2026-01-07 21:05:49
med:pmid:30351798,0.0017132589086360768,other,1.0,0.0017132589086360768,2026-01-07 21:05:49
med:pmid:29901907,0.0017132589086360768,other,1.0,0.0017132589086360768,2026-01-07 21:05:49
med:pmid:29659231,0.0017132589086360768,case report,0.7,0.0011992812360452536,2026-01-07 21:05:49
med:pmid:28133468,0.0017132589086360768,review,0.9,0.0015419330177724691,2026-01-07 21:05:49
med:pmid:28095559,0.0017132589086360768,review,0.9,0.0015419330177724691,2026-01-07 21:05:49
med:pmid:27976638,0.0017132589086360768,other,1.0,0.0017132589086360768,2026-01-07 21:05:49
med:pmid:27871253,0.0017795811341945525,other,1.0,0.0017795811341945525,2026-01-07 21:05:49
med:pmid:27871223,0.0017795811341945525,observational study,1.2,0.0021354973610334628,2026-01-07 21:05:49
med:pmid:27864247,0.0017694715074335632,randomized controlled trial,1.6,0.0028311544118937012,2026-01-07 21:05:49
med:pmid:27861386,0.0017132589086360768,observational study,1.2,0.002055910690363292,2026-01-07 21:05:49
med:pmid:27861335,0.0017132589086360768,randomized controlled trial,1.6,0.002741214253817723,2026-01-07 21:05:49
med:pmid:27855717,0.0017661144106195501,other,1.0,0.0017661144106195501,2026-01-07 21:05:49
med:pmid:27833699,0.001624539542094745,case report,0.7,0.0011371776794663214,2026-01-07 21:05:49
med:pmid:27828870,0.0017132589086360768,other,1.0,0.0017132589086360768,2026-01-07 21:05:49
med:pmid:27803793,0.0016714807621654073,review,0.9,0.0015043326859488667,2026-01-07 21:05:49
med:pmid:27783077,0.0017132589086360768,other,1.0,0.0017132589086360768,2026-01-07 21:05:49
med:pmid:27769970,0.0017132589086360768,review,0.9,0.0015419330177724691,2026-01-07 21:05:49
med:pmid:27747488,0.0017132589086360768,review,0.9,0.0015419330177724691,2026-01-07 21:05:49
med:pmid:27729579,0.00164627910009907,randomized controlled trial,1.6,0.002634046560158512,2026-01-07 21:05:49
med:pmid:27682899,0.0017132589086360768,other,1.0,0.0017132589086360768,2026-01-07 21:05:50
med:pmid:27664380,0.0015819178652808645,other,1.0,0.0015819178652808645,2026-01-07 21:05:50
med:pmid:27653164,0.0017132589086360768,randomized controlled trial,1.6,0.002741214253817723,2026-01-07 21:05:50
med:pmid:27650753,0.0015729311442613863,other,1.0,0.0015729311442613863,2026-01-07 21:05:50
med:pmid:27620301,0.0017132589086360768,review,0.9,0.0015419330177724691,2026-01-07 21:05:50
med:pmid:27633002,0.0015669683774547092,other,1.0,0.0015669683774547092,2026-01-07 21:05:50
med:pmid:27608957,0.0015374918950102517,other,1.0,0.0015374918950102517,2026-01-07 21:05:50
med:pmid:27592051,0.0015229622428255694,other,1.0,0.0015229622428255694,2026-01-07 21:05:50
med:pmid:27591087,0.0015229622428255694,other,1.0,0.0015229622428255694,2026-01-07 21:05:50
med:pmid:27573608,0.001499999860815406,other,1.0,0.001499999860815406,2026-01-07 21:05:50
med:pmid:27571284,0.001520072831116043,other,1.0,0.001520072831116043,2026-01-07 21:05:50
med:pmid:27511457,0.0014634220770518187,other,1.0,0.0014634220770518187,2026-01-07 21:05:50
med:pmid:27475317,0.0014250275035778018,review,0.9,0.0012825247532200217,2026-01-07 21:05:50
med:pmid:27470973,0.0014773836928956225,other,1.0,0.0014773836928956225,2026-01-07 21:05:50
med:pmid:27449068,0.001411560665770209,other,1.0,0.001411560665770209,2026-01-07 21:05:50
med:pmid:27416001,0.0014971540140568634,other,1.0,0.0014971540140568634,2026-01-07 21:05:50
med:pmid:27371719,0.0013563757414980647,randomized controlled trial,1.6,0.0021702011863969036,2026-01-07 21:05:50
med:pmid:27354044,0.0013486703032740235,other,1.0,0.0013486703032740235,2026-01-07 21:05:50
med:pmid:27334058,0.0013359250585790908,other,1.0,0.0013359250585790908,2026-01-07 21:05:50
med:pmid:27325568,0.0013308607494231777,other,1.0,0.0013308607494231777,2026-01-07 21:05:50
med:pmid:27133201,0.0012011484140577228,other,1.0,0.0012011484140577228,2026-01-07 21:05:50
med:pmid:27113485,0.0011943248071328415,randomized controlled trial,1.6,0.0019109196914125466,2026-01-07 21:05:50
med:pmid:26988149,0.0011048622234369541,other,1.0,0.0011048622234369541,2026-01-07 21:05:50
med:pmid:26961172,0.001094421021196713,other,1.0,0.001094421021196713,2026-01-07 21:05:50
med:pmid:26931777,0.0010779199466053645,other,1.0,0.0010779199466053645,2026-01-07 21:05:50
med:pmid:26818804,0.0010105210349953932,review,0.9,0.000909468931495854,2026-01-07 21:05:50
med:pmid:30524566,0.0014062096323736277,other,1.0,0.0014062096323736277,2026-01-07 21:05:50
med:pmid:28929659,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:28344511,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:28164519,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:28163537,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27976653,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27829720,0.0016153106914885715,case report,0.7,0.0011307174840419999,2026-01-07 21:05:50
med:pmid:27824422,0.0016153106914885715,review,0.9,0.0014537796223397144,2026-01-07 21:05:50
med:pmid:27798124,0.0016938484867055892,other,1.0,0.0016938484867055892,2026-01-07 21:05:50
med:pmid:27795218,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27779461,0.0016153106914885715,randomized controlled trial,1.6,0.0025844971063817145,2026-01-07 21:05:50
med:pmid:27779460,0.0016153106914885715,randomized controlled trial,1.6,0.0025844971063817145,2026-01-07 21:05:50
med:pmid:27779459,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27779458,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27779457,0.0016153106914885715,review,0.9,0.0014537796223397144,2026-01-07 21:05:50
med:pmid:27775423,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27734897,0.0016525436670895937,other,1.0,0.0016525436670895937,2026-01-07 21:05:50
med:pmid:27726125,0.00164627910009907,review,0.9,0.001481651190089163,2026-01-07 21:05:50
med:pmid:27725417,0.0016276275280645164,other,1.0,0.0016276275280645164,2026-01-07 21:05:50
med:pmid:27697876,0.0016214574147487588,randomized controlled trial,1.6,0.0025943318635980143,2026-01-07 21:05:50
med:pmid:27697814,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27697799,0.0016153106914885715,other,1.0,0.0016153106914885715,2026-01-07 21:05:50
med:pmid:27653864,0.0014062096323736277,other,1.0,0.0014062096323736277,2026-01-07 21:05:50
med:pmid:27621182,0.0013771394887084588,other,1.0,0.0013771394887084588,2026-01-07 21:05:50
med:pmid:27608613,0.0015492153588042231,other,1.0,0.0015492153588042231,2026-01-07 21:05:50
med:pmid:27581475,0.0015229622428255694,randomized controlled trial,1.6,0.002436739588520911,2026-01-07 21:05:50
med:pmid:27576774,0.001520072831116043,randomized controlled trial,1.6,0.002432116529785669,2026-01-07 21:05:50
med:pmid:27575704,0.0015085698991973047,other,1.0,0.0015085698991973047,2026-01-07 21:05:50
med:pmid:27573922,0.0015639954759270422,other,1.0,0.0015639954759270422,2026-01-07 21:05:50
med:pmid:27548766,0.0016153106914885715,randomized controlled trial,1.6,0.0025844971063817145,2026-01-07 21:05:50
med:pmid:27510447,0.0014634220770518187,review,0.9,0.0013170798693466369,2026-01-07 21:05:50
med:pmid:27496878,0.0014495924016903064,other,1.0,0.0014495924016903064,2026-01-07 21:05:50
med:pmid:27494301,0.0014495924016903064,other,1.0,0.0014495924016903064,2026-01-07 21:05:50
med:pmid:27428318,0.0013771394887084588,observational study,1.2,0.0016525673864501505,2026-01-07 21:05:50
med:pmid:27395349,0.001369316093662767,randomized controlled trial,1.6,0.002190905749860427,2026-01-07 21:05:50
med:pmid:27390970,0.0013461115636959886,other,1.0,0.0013461115636959886,2026-01-07 21:05:50
med:pmid:27378245,0.0013641252036604107,other,1.0,0.0013641252036604107,2026-01-07 21:05:50
med:pmid:27364182,0.0013538023829210782,review,0.9,0.0012184221446289703,2026-01-07 21:05:50
med:pmid:27283779,0.0013033482702782557,randomized controlled trial,1.6,0.0020853572324452093,2026-01-07 21:05:50
med:pmid:27262781,0.0012836971062291146,other,1.0,0.0012836971062291146,2026-01-07 21:05:50
med:pmid:27260014,0.0016153106914885715,review,0.9,0.0014537796223397144,2026-01-07 21:05:50
med:pmid:27142368,0.0016153106914885715,review,0.9,0.0014537796223397144,2026-01-07 21:05:50
med:pmid:27132822,0.001141113123157653,other,1.0,0.001141113123157653,2026-01-07 21:05:50
med:pmid:27117815,0.0011897972851606649,other,1.0,0.0011897972851606649,2026-01-07 21:05:51
med:pmid:27094460,0.0011830381628913356,observational study,1.2,0.0014196457954696027,2026-01-07 21:05:51
med:pmid:27048970,0.001149814176104716,review,0.9,0.0010348327584942445,2026-01-07 21:05:51
med:pmid:26866934,0.0014886488282044171,other,1.0,0.0014886488282044171,2026-01-07 21:05:51
med:pmid:30609462,0.0015258571468377382,review,0.9,0.0013732714321539644,2026-01-07 21:05:51
med:pmid:28530081,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:28101033,0.0015258571468377382,case report,0.7,0.0010681000027864167,2026-01-07 21:05:51
med:pmid:27928554,0.0013157827197413743,other,1.0,0.0013157827197413743,2026-01-07 21:05:51
med:pmid:27924184,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27840855,0.0014250275035778018,other,1.0,0.0014250275035778018,2026-01-07 21:05:51
med:pmid:27790455,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27760640,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27749244,0.0016091872696154534,review,0.9,0.001448268542653908,2026-01-07 21:05:51
med:pmid:27736223,0.0015258571468377382,case report,0.7,0.0010681000027864167,2026-01-07 21:05:51
med:pmid:27725018,0.001534574917189119,case report,0.7,0.0010742024420323834,2026-01-07 21:05:51
med:pmid:27703570,0.0013589539916119915,case report,0.7,0.000951267794128394,2026-01-07 21:05:51
med:pmid:27655429,0.0015879375192022205,other,1.0,0.0015879375192022205,2026-01-07 21:05:51
med:pmid:27642098,0.0015789166011162497,other,1.0,0.0015789166011162497,2026-01-07 21:05:51
med:pmid:27618854,0.0015258571468377382,randomized controlled trial,1.6,0.0024413714349403814,2026-01-07 21:05:51
med:pmid:27628221,0.0015669683774547092,randomized controlled trial,1.6,0.002507149403927535,2026-01-07 21:05:51
med:pmid:27628418,0.0015610282146813492,observational study,1.2,0.001873233857617619,2026-01-07 21:05:51
med:pmid:27636114,0.0015374918950102517,review,0.9,0.0013837427055092264,2026-01-07 21:05:51
med:pmid:27613793,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27613994,0.0015258571468377382,case report,0.7,0.0010681000027864167,2026-01-07 21:05:51
med:pmid:27595688,0.0013641252036604107,randomized controlled trial,1.6,0.002182600325856657,2026-01-07 21:05:51
med:pmid:27595684,0.0013359250585790908,observational study,1.2,0.0016031100702949088,2026-01-07 21:05:51
med:pmid:27586538,0.0015258571468377382,randomized controlled trial,1.6,0.0024413714349403814,2026-01-07 21:05:51
med:pmid:27568454,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27569835,0.0015258571468377382,randomized controlled trial,1.6,0.0024413714349403814,2026-01-07 21:05:51
med:pmid:27542423,0.0015258571468377382,review,0.9,0.0013732714321539644,2026-01-07 21:05:51
med:pmid:27535714,0.0014801919594828108,case report,0.7,0.0010361343716379675,2026-01-07 21:05:51
med:pmid:27508250,0.001366718184243994,other,1.0,0.001366718184243994,2026-01-07 21:05:51
med:pmid:27480840,0.0014386228202562896,randomized controlled trial,1.6,0.0023017965124100636,2026-01-07 21:05:51
med:pmid:27465904,0.0014196254192412204,other,1.0,0.0014196254192412204,2026-01-07 21:05:51
med:pmid:27438344,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27437874,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27434113,0.0014035417273766588,other,1.0,0.0014035417273766588,2026-01-07 21:05:51
med:pmid:27431273,0.0013955683437895856,other,1.0,0.0013955683437895856,2026-01-07 21:05:51
med:pmid:27427425,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27422785,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:27364087,0.0013461115636959886,clinical trial,1.4,0.001884556189174384,2026-01-07 21:05:51
med:pmid:27362832,0.0013157827197413743,other,1.0,0.0013157827197413743,2026-01-07 21:05:51
med:pmid:27352206,0.0013157827197413743,review,0.9,0.0011842044477672368,2026-01-07 21:05:51
med:pmid:27344631,0.0012812616358373195,other,1.0,0.0012812616358373195,2026-01-07 21:05:51
med:pmid:27323336,0.0013058257237769594,other,1.0,0.0013058257237769594,2026-01-07 21:05:51
med:pmid:27276444,0.0013233002593792053,review,0.9,0.0011909702334412847,2026-01-07 21:05:51
med:pmid:27238746,0.0014250275035778018,other,1.0,0.0014250275035778018,2026-01-07 21:05:51
med:pmid:27230850,0.001266745540908767,clinical trial,1.4,0.0017734437572722737,2026-01-07 21:05:51
med:pmid:27207980,0.0012523939065447716,review,0.9,0.0011271545158902945,2026-01-07 21:05:51
med:pmid:27174372,0.0012288349327129074,case report,0.7,0.0008601844528990351,2026-01-07 21:05:51
med:pmid:27170530,0.0012335110041978776,randomized controlled trial,1.6,0.001973617606716604,2026-01-07 21:05:51
med:pmid:27128712,0.001286137206054792,randomized controlled trial,1.6,0.0020578195296876672,2026-01-07 21:05:51
med:pmid:27092662,0.0015258571468377382,review,0.9,0.0013732714321539644,2026-01-07 21:05:51
med:pmid:26991354,0.0011048622234369541,other,1.0,0.0011048622234369541,2026-01-07 21:05:51
med:pmid:26992065,0.0015258571468377382,other,1.0,0.0015258571468377382,2026-01-07 21:05:51
med:pmid:26915580,0.001065707617887602,observational study,1.2,0.0012788491414651223,2026-01-07 21:05:51
