doc_id,product_a,product_b,count
med:pmid:29144684,enalapril,sacubitril_valsartan,1
med:pmid:40448468,enalapril,sacubitril_valsartan,1
med:pmid:40689605,enalapril,sacubitril_valsartan,1
med:pmid:40101251,enalapril,sacubitril_valsartan,1
med:pmid:41455057,enalapril,sacubitril_valsartan,1
med:pmid:41408894,enalapril,sacubitril_valsartan,1
med:pmid:41379379,enalapril,sacubitril_valsartan,1
med:pmid:41370000,enalapril,sacubitril_valsartan,1
med:pmid:41326864,enalapril,sacubitril_valsartan,1
med:pmid:40910162,enalapril,sacubitril_valsartan,1
med:pmid:40105368,enalapril,sacubitril_valsartan,1
med:pmid:41377094,enalapril,sacubitril_valsartan,1
med:pmid:41304916,enalapril,sacubitril_valsartan,1
med:pmid:41303015,enalapril,sacubitril_valsartan,1
med:pmid:41296625,enalapril,sacubitril_valsartan,1
med:pmid:41287294,enalapril,sacubitril_valsartan,1
med:pmid:41249923,enalapril,sacubitril_valsartan,1
med:pmid:41151613,enalapril,sacubitril_valsartan,1
med:pmid:41084891,enalapril,sacubitril_valsartan,1
med:pmid:41016569,enalapril,sacubitril_valsartan,1
med:pmid:40993994,enalapril,sacubitril_valsartan,1
med:pmid:40788620,enalapril,sacubitril_valsartan,1
med:pmid:41136931,enalapril,sacubitril_valsartan,1
med:pmid:40769236,enalapril,sacubitril_valsartan,1
med:pmid:40679772,enalapril,sacubitril_valsartan,1
med:pmid:40470816,enalapril,sacubitril_valsartan,1
med:pmid:41049960,enalapril,sacubitril_valsartan,1
med:pmid:41007826,enalapril,sacubitril_valsartan,1
med:pmid:40981086,enalapril,sacubitril_valsartan,1
med:pmid:40908036,enalapril,sacubitril_valsartan,1
med:pmid:40621831,enalapril,sacubitril_valsartan,1
med:pmid:40943860,enalapril,sacubitril_valsartan,1
med:pmid:40869719,enalapril,sacubitril_valsartan,1
med:pmid:40835081,enalapril,sacubitril_valsartan,1
med:pmid:40755965,enalapril,sacubitril_valsartan,1
med:pmid:40542996,enalapril,sacubitril_valsartan,1
med:pmid:40450497,enalapril,sacubitril_valsartan,1
med:pmid:40397431,enalapril,sacubitril_valsartan,1
med:pmid:40302030,enalapril,sacubitril_valsartan,1
med:pmid:40232857,enalapril,sacubitril_valsartan,1
med:pmid:39792134,enalapril,sacubitril_valsartan,1
med:pmid:40660106,enalapril,sacubitril_valsartan,1
med:pmid:40543460,enalapril,sacubitril_valsartan,1
med:pmid:40319618,enalapril,sacubitril_valsartan,1
med:pmid:40188960,enalapril,sacubitril_valsartan,1
med:pmid:39927747,enalapril,sacubitril_valsartan,1
med:pmid:40540017,enalapril,sacubitril_valsartan,1
med:pmid:40418165,enalapril,sacubitril_valsartan,1
med:pmid:40268473,enalapril,sacubitril_valsartan,1
med:pmid:39888167,enalapril,sacubitril_valsartan,1
med:pmid:39829077,enalapril,sacubitril_valsartan,1
med:pmid:40486108,enalapril,sacubitril_valsartan,1
med:pmid:40389107,enalapril,sacubitril_valsartan,1
med:pmid:40152479,enalapril,sacubitril_valsartan,1
med:pmid:40718065,enalapril,sacubitril_valsartan,1
med:pmid:40385266,enalapril,sacubitril_valsartan,1
med:pmid:40295134,enalapril,sacubitril_valsartan,1
med:pmid:40283370,enalapril,sacubitril_valsartan,1
med:pmid:40266448,enalapril,sacubitril_valsartan,1
med:pmid:40261428,enalapril,sacubitril_valsartan,1
med:pmid:40091512,enalapril,sacubitril_valsartan,1
med:pmid:40141815,enalapril,sacubitril_valsartan,1
med:pmid:40063170,enalapril,sacubitril_valsartan,1
med:pmid:39970741,enalapril,sacubitril_valsartan,1
med:pmid:39939202,enalapril,sacubitril_valsartan,1
med:pmid:40115097,enalapril,sacubitril_valsartan,1
med:pmid:39922597,enalapril,sacubitril_valsartan,1
med:pmid:41126807,enalapril,sacubitril_valsartan,1
med:pmid:41080832,enalapril,sacubitril_valsartan,1
med:pmid:41079587,enalapril,sacubitril_valsartan,1
med:pmid:41079061,enalapril,sacubitril_valsartan,1
med:pmid:40873622,enalapril,sacubitril_valsartan,1
med:pmid:40791946,enalapril,sacubitril_valsartan,1
med:pmid:40727001,enalapril,sacubitril_valsartan,1
med:pmid:40575771,enalapril,sacubitril_valsartan,1
med:pmid:40463763,enalapril,sacubitril_valsartan,1
med:pmid:40255655,enalapril,sacubitril_valsartan,1
med:pmid:39959840,enalapril,sacubitril_valsartan,1
med:pmid:39864551,enalapril,sacubitril_valsartan,1
med:pmid:41284794,enalapril,sacubitril_valsartan,1
ppr:doi:10.21203/rs.3.rs-7511564/v1,enalapril,sacubitril_valsartan,1
ppr:doi:10.20944/preprints202509.0619.v1,enalapril,sacubitril_valsartan,1
ppr:doi:10.21203/rs.3.rs-7118793/v1,enalapril,sacubitril_valsartan,1
ppr:doi:10.21203/rs.3.rs-6768681/v1,enalapril,sacubitril_valsartan,1
ppr:doi:10.1101/2025.03.12.25323680,enalapril,sacubitril_valsartan,1
ppr:doi:10.1101/2025.01.10.25320367,enalapril,sacubitril_valsartan,1
med:pmid:41335448,enalapril,sacubitril_valsartan,1
med:pmid:40849246,enalapril,sacubitril_valsartan,1
med:pmid:40839760,enalapril,sacubitril_valsartan,1
med:pmid:41070303,enalapril,sacubitril_valsartan,1
med:pmid:40916703,enalapril,sacubitril_valsartan,1
med:pmid:40835369,enalapril,sacubitril_valsartan,1
med:pmid:40353367,enalapril,sacubitril_valsartan,1
med:pmid:40265590,enalapril,sacubitril_valsartan,1
med:pmid:39563094,enalapril,sacubitril_valsartan,1
med:pmid:39983618,enalapril,sacubitril_valsartan,1
med:pmid:39661383,enalapril,sacubitril_valsartan,1
med:pmid:39284545,enalapril,sacubitril_valsartan,1
med:pmid:40332281,enalapril,sacubitril_valsartan,1
med:pmid:39439294,enalapril,sacubitril_valsartan,1
med:pmid:39387766,enalapril,sacubitril_valsartan,1
med:pmid:39720381,enalapril,sacubitril_valsartan,1
med:pmid:39319469,enalapril,sacubitril_valsartan,1
med:pmid:39210725,enalapril,sacubitril_valsartan,1
med:pmid:37043670,enalapril,sacubitril_valsartan,1
med:pmid:39320292,enalapril,sacubitril_valsartan,1
med:pmid:38330576,enalapril,sacubitril_valsartan,1
med:pmid:39262640,enalapril,sacubitril_valsartan,1
med:pmid:39111953,enalapril,sacubitril_valsartan,1
med:pmid:38597935,enalapril,sacubitril_valsartan,1
med:pmid:38904251,enalapril,sacubitril_valsartan,1
med:pmid:38764991,enalapril,sacubitril_valsartan,1
med:pmid:38588927,enalapril,sacubitril_valsartan,1
med:pmid:38663899,enalapril,sacubitril_valsartan,1
med:pmid:38508844,enalapril,sacubitril_valsartan,1
med:pmid:39544776,enalapril,sacubitril_valsartan,1
med:pmid:38356826,enalapril,sacubitril_valsartan,1
med:pmid:38134075,enalapril,sacubitril_valsartan,1
med:pmid:37989299,enalapril,sacubitril_valsartan,1
med:pmid:37635080,enalapril,sacubitril_valsartan,1
med:pmid:38084196,enalapril,sacubitril_valsartan,1
med:pmid:37941691,enalapril,sacubitril_valsartan,1
med:pmid:37554618,enalapril,sacubitril_valsartan,1
med:pmid:37407154,enalapril,sacubitril_valsartan,1
med:pmid:37104912,enalapril,sacubitril_valsartan,1
med:pmid:37240819,enalapril,sacubitril_valsartan,1
med:pmid:37181979,enalapril,sacubitril_valsartan,1
med:pmid:36812948,enalapril,sacubitril_valsartan,1
med:pmid:36943907,enalapril,sacubitril_valsartan,1
med:pmid:36601956,enalapril,sacubitril_valsartan,1
med:pmid:36808581,enalapril,sacubitril_valsartan,1
med:pmid:37042870,enalapril,sacubitril_valsartan,1
med:pmid:36685156,enalapril,sacubitril_valsartan,1
med:pmid:36530836,enalapril,sacubitril_valsartan,1
med:pmid:37143752,enalapril,sacubitril_valsartan,1
med:pmid:35702942,enalapril,sacubitril_valsartan,1
med:pmid:36232632,enalapril,sacubitril_valsartan,1
med:pmid:34989105,enalapril,sacubitril_valsartan,1
med:pmid:35761118,enalapril,sacubitril_valsartan,1
med:pmid:35469709,enalapril,sacubitril_valsartan,1
med:pmid:35874853,enalapril,sacubitril_valsartan,1
med:pmid:35560696,enalapril,sacubitril_valsartan,1
med:pmid:35717169,enalapril,sacubitril_valsartan,1
med:pmid:35483448,enalapril,sacubitril_valsartan,1
med:pmid:35343504,enalapril,sacubitril_valsartan,1
med:pmid:34969175,enalapril,sacubitril_valsartan,1
med:pmid:35282662,enalapril,sacubitril_valsartan,1
med:pmid:35200707,enalapril,sacubitril_valsartan,1
med:pmid:35115085,enalapril,sacubitril_valsartan,1
med:pmid:33119090,enalapril,sacubitril_valsartan,1
med:pmid:36712243,enalapril,sacubitril_valsartan,1
med:pmid:36148074,enalapril,sacubitril_valsartan,1
med:pmid:36133814,enalapril,sacubitril_valsartan,1
med:pmid:36132549,enalapril,sacubitril_valsartan,1
med:pmid:35694400,enalapril,sacubitril_valsartan,1
med:pmid:35528528,enalapril,sacubitril_valsartan,1
med:pmid:35400328,enalapril,sacubitril_valsartan,1
med:pmid:35222898,enalapril,sacubitril_valsartan,1
med:pmid:35081164,enalapril,sacubitril_valsartan,1
med:pmid:35035857,enalapril,sacubitril_valsartan,1
med:pmid:41501364,enalapril,sacubitril_valsartan,1
